ticker,HSON US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2003-03-18,3.4078
2003-03-19,-1.7045
2003-03-20,1.7341
2003-03-21,0.0
2003-03-24,-2.2727
2003-03-25,0.5814
2003-03-26,2.3121
2003-03-27,-0.565
2003-03-28,0.5682
2003-03-31,1.9209
2003-04-01,44.6785
2003-04-02,4.4444
2003-04-03,-1.6875
2003-04-04,-7.2388
2003-04-07,5.7924
2003-04-08,-3.0418
2003-04-09,4.6274999999999995
2003-04-10,4.3478
2003-04-11,-1.8678
2003-04-14,7.6135
2003-04-15,1.8367
2003-04-16,-0.5344
2003-04-17,1.4102999999999999
2003-04-21,0.2649
2003-04-22,10.6341
2003-04-23,0.4239
2003-04-24,-1.3138
2003-04-25,-1.0301
2003-04-28,-4.1329
2003-04-29,-3.2381
2003-04-30,-2.6837
2003-05-01,1.7463
2003-05-02,-1.7229999999999999
2003-05-05,1.0789
2003-05-06,-2.9353
2003-05-07,1.7182
2003-05-08,-0.6757
2003-05-09,1.3605
2003-05-12,3.9664
2003-05-13,12.7687
2003-05-14,-4.4021
2003-05-15,2.0359
2003-05-16,3.8731999999999998
2003-05-19,-2.2599
2003-05-20,-2.0809
2003-05-21,-2.7744999999999997
2003-05-22,9.1682
2003-05-23,-1.6185
2003-05-27,3.0019
2003-05-28,-0.933
2003-05-29,-1.2742
2003-05-30,-0.6173
2003-06-02,0.4517
2003-06-03,1.4053
2003-06-04,-2.2173
2003-06-05,3.4013999999999998
2003-06-06,0.6031
2003-06-09,-1.4714
2003-06-10,0.6084
2003-06-11,-0.4948
2003-06-12,2.7624
2003-06-13,-1.0753
2003-06-16,-1.6303999999999998
2003-06-17,1.0497
2003-06-18,2.1323
2003-06-19,-1.8737
2003-06-20,0.0546
2003-06-23,-0.1636
2003-06-24,-1.2507
2003-06-25,1.3771
2003-06-26,2.1822
2003-06-27,-1.5483
2003-06-30,2.3861
2003-07-01,2.2775
2003-07-02,3.0036
2003-07-03,2.0613
2003-07-07,4.0887
2003-07-08,10.1751
2003-07-09,-5.3694
2003-07-10,3.6768
2003-07-11,2.7145
2003-07-14,1.6623999999999999
2003-07-15,-0.0461
2003-07-16,-3.6411
2003-07-17,-1.3538999999999999
2003-07-18,0.4854
2003-07-21,-4.6113
2003-07-22,0.3683
2003-07-23,-0.2294
2003-07-24,-1.1494
2003-07-25,0.1395
2003-07-28,0.2787
2003-07-29,2.3622
2003-07-30,-2.9412000000000003
2003-07-31,0.1399
2003-08-01,3.352
