ticker,UONEK US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-06-07,-61.9231
2000-06-08,-12.1212
2000-06-09,10.6322
2000-06-12,3.8961
2000-06-13,0.0
2000-06-14,3.0
2000-06-15,-9.7087
2000-06-16,-6.4516
2000-06-19,-3.1609
2000-06-20,-6.2315
2000-06-21,7.5949
2000-06-22,-1.7647
2000-06-23,-3.5928
2000-06-26,-0.6211
2000-06-27,4.375
2000-06-28,-3.5928
2000-06-29,19.2547
2000-06-30,-8.0729
2000-07-03,4.2493
2000-07-05,0.5435
2000-07-06,-6.4865
2000-07-07,-9.5376
2000-07-10,-18.8498
2000-07-11,14.5669
2000-07-12,6.5292
2000-07-13,0.0
2000-07-14,-4.5161
2000-07-17,5.4054
2000-07-18,-3.2051
2000-07-19,0.6623
2000-07-20,-0.6579
2000-07-21,0.6623
2000-07-24,-1.3158
2000-07-25,-3.0
2000-07-26,-0.6873
2000-07-27,-0.692
2000-07-28,-4.1812
2000-07-31,9.818200000000001
2000-08-01,1.3245
2000-08-02,3.5948
2000-08-03,-3.7855
2000-08-04,3.2787
2000-08-07,-0.3175
2000-08-08,1.9108
2000-08-09,1.25
2000-08-10,-3.7037
2000-08-11,-1.9231
2000-08-14,1.9607999999999999
2000-08-15,2.5641
2000-08-16,2.1875
2000-08-17,-2.4465
2000-08-18,2.5078
2000-08-21,-1.8349
2000-08-22,-3.4268
2000-08-23,-4.1935
2000-08-24,-1.3468
2000-08-25,0.6826
2000-08-28,4.4068
2000-08-29,-4.5455
2000-08-30,2.7211
2000-08-31,-6.9536
2000-09-01,-0.7117
2000-09-05,-2.509
2000-09-06,-2.2059
2000-09-07,-3.7594
2000-09-08,-5.8594
2000-09-11,-8.2988
2000-09-12,-2.2624
2000-09-13,11.5741
2000-09-14,1.2448
2000-09-15,2.0492
2000-09-18,1.2048
2000-09-19,-4.7619
2000-09-20,-2.0833
2000-09-21,-25.5319
2000-09-22,-22.8571
2000-09-25,-30.3704
2000-09-26,-2.1277
2000-09-27,16.3043
2000-09-28,5.6075
2000-09-29,0.0
2000-10-02,-6.6372
2000-10-03,-8.0569
2000-10-04,-2.0619
2000-10-05,10.526299999999999
2000-10-06,9.5238
2000-10-09,-2.6087
2000-10-10,-6.6964
2000-10-11,-5.2632
2000-10-12,-8.0808
2000-10-13,0.0
2000-10-16,3.2967
2000-10-17,4.2553
2000-10-18,0.0
2000-10-19,14.2857
2000-10-20,7.1429
2000-10-23,3.3333
2000-10-24,0.0
