ticker,LLNW US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-06-08,47.8667
2007-06-11,-8.7015
2007-06-12,-5.5309
2007-06-13,4.6001
2007-06-14,-2.4488
2007-06-15,2.459
2007-06-18,-2.1
2007-06-19,2.145
2007-06-20,-1.85
2007-06-21,-3.2094
2007-06-22,-2.1053
2007-06-25,-4.4624
2007-06-26,-0.6753
2007-06-27,-3.6827
2007-06-28,-8.4118
2007-06-29,27.0392
2007-07-02,-4.4489
2007-07-03,2.3810000000000002
2007-07-05,7.2351
2007-07-06,5.8313
2007-07-09,3.006
2007-07-10,2.2541
2007-07-11,-0.4756
2007-07-12,-1.7376
2007-07-13,-6.7197
2007-07-16,-5.3555
2007-07-17,-3.5553
2007-07-18,-12.513
2007-07-19,0.0
2007-07-20,1.5430000000000001
2007-07-23,0.5845
2007-07-24,2.8472
2007-07-25,-0.3955
2007-07-26,-2.1554
2007-07-27,-4.5217
2007-07-30,1.7001
2007-07-31,-1.194
2007-08-01,-0.9063
2007-08-02,0.8537
2007-08-03,-12.2136
2007-08-06,-9.71
2007-08-07,5.0343
2007-08-08,7.48
2007-08-09,-39.2568
2007-08-10,-11.681000000000001
2007-08-13,0.2535
2007-08-14,-0.8794
2007-08-15,-5.8302
2007-08-16,-6.4603
2007-08-17,8.777
2007-08-20,5.1587
2007-08-21,0.5031
2007-08-22,6.1327
2007-08-23,4.9528
2007-08-24,-2.809
2007-08-27,0.1156
2007-08-28,-4.5035
2007-08-29,-1.6928999999999998
2007-08-30,0.492
2007-08-31,0.7344
2007-09-04,7.8979
2007-09-05,4.6171
2007-09-06,-1.0764
2007-09-07,-2.2307
2007-09-10,-2.9494
2007-09-11,2.2936
2007-09-12,0.7848
2007-09-13,-3.782
2007-09-14,-0.1156
2007-09-17,-2.7778
2007-09-18,-1.7856999999999998
2007-09-19,-0.3636
2007-09-20,-0.6083
2007-09-21,3.672
2007-09-24,6.2574
2007-09-25,4.4444
2007-09-26,3.7234
2007-09-27,-2.1538
2007-09-28,-7.1279
2007-10-01,-0.7901
2007-10-02,7.2824
2007-10-03,1.3759000000000001
2007-10-04,-2.5092
2007-10-05,2.4678
2007-10-08,21.4673
2007-10-09,3.1885
2007-10-10,2.5898
2007-10-11,-5.2117
2007-10-12,1.0309
2007-10-15,-7.6531
2007-10-16,-3.8674
2007-10-17,-1.6284
2007-10-18,3.5054
2007-10-19,-3.3866
2007-10-22,1.6553
2007-10-23,3.9272
2007-10-24,-4.0553
2007-10-25,5.0913
