ticker,FRGI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-04-27,-4.0
2012-05-01,-6.25
2012-05-02,-0.8889
2012-05-04,0.0
2012-05-07,-0.4484
2012-05-08,3.6036
2012-05-09,7.3913
2012-05-10,1.4575
2012-05-11,-2.2346
2012-05-14,-0.8163
2012-05-15,-0.4115
2012-05-16,0.3306
2012-05-17,-0.9061
2012-05-18,-2.7431
2012-05-21,2.735
2012-05-22,-2.2463
2012-05-23,-0.4255
2012-05-24,5.1282
2012-05-25,-0.0813
2012-05-29,0.4068
2012-05-30,-1.3776
2012-05-31,0.2465
2012-06-01,-1.3934
2012-06-04,-0.2494
2012-06-05,-2.0
2012-06-06,5.017
2012-06-07,0.081
2012-06-08,2.8317
2012-06-11,-3.3045
2012-06-12,-1.4646
2012-06-13,-0.9909
2012-06-14,0.3336
2012-06-15,0.4988
2012-06-18,-0.2481
2012-06-19,2.8192
2012-06-20,4.8387
2012-06-21,-1.9231
2012-06-22,-1.7255
2012-06-25,0.0
2012-06-26,0.4789
2012-06-27,1.2708
2012-06-28,0.1569
2012-06-29,3.6022
2012-07-02,-0.5291
2012-07-03,5.3951
2012-07-05,4.7585
2012-07-06,-1.1012
2012-07-09,1.1134
2012-07-10,-0.0688
2012-07-11,3.0992
2012-07-12,0.7348
2012-07-13,3.183
2012-07-16,-2.8278
2012-07-17,2.8439
2012-07-18,2.3794
2012-07-19,-1.8216
2012-07-20,-4.0307
2012-07-23,-0.2
2012-07-24,0.0
2012-07-25,0.334
2012-07-26,0.1332
2012-07-27,0.7314
2012-07-30,0.9901
2012-07-31,0.5882
2012-08-01,-1.0396
2012-08-02,0.2626
2012-08-03,3.0779
2012-08-06,1.2706
2012-08-07,2.6349
2012-08-08,-6.4181
2012-08-09,3.9843
2012-08-10,1.3819
2012-08-13,0.1239
2012-08-14,-0.4332
2012-08-15,-0.5594
2012-08-16,1.125
2012-08-17,1.4833
2012-08-20,0.8526
2012-08-21,1.1473
2012-08-22,-1.194
2012-08-23,-2.3565
2012-08-24,-1.6707999999999998
2012-08-27,0.0629
2012-08-28,-0.3145
2012-08-29,-2.5237
2012-08-30,1.9417
2012-08-31,1.9683000000000002
2012-09-04,-1.4321
2012-09-05,0.379
2012-09-06,1.825
2012-09-07,0.4326
2012-09-10,-0.3077
2012-09-11,0.6173
2012-09-12,-0.3681
2012-09-13,0.8621
2012-09-14,0.0
2012-09-17,1.6484
2012-09-18,0.5405
2012-09-19,0.8363
2012-09-20,0.7109
