ticker,RNWB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-11-18,50.0
2005-11-30,26.6667
2005-12-02,-47.3684
2005-12-05,0.0
2005-12-06,-40.0
2005-12-13,66.6667
2005-12-16,-20.0
2005-12-19,12.5
2005-12-20,55.5556
2005-12-21,-7.1429
2005-12-22,-7.6923
2005-12-28,25.0
2005-12-29,-33.3333
2005-12-30,40.0
2006-01-03,-7.1429
2006-01-04,-18.4615
2006-01-05,-15.0943
2006-01-06,-13.3333
2006-01-09,-28.2051
2006-01-10,3.5714
2006-01-11,51.7241
2006-01-12,36.3636
2006-01-13,-25.0
2006-01-18,-44.4444
2006-01-19,20.0
2006-01-20,10.0
2006-01-23,45.4545
2006-01-25,-37.5
2006-01-30,33.3333
2006-02-01,-17.5
2006-02-02,-9.0909
2006-02-06,66.6667
2006-02-07,40.0
2006-02-08,8.5714
2006-02-09,25.0
2006-02-10,57.8947
2006-02-13,23.3333
2006-02-14,18.9189
2006-02-15,11.3636
2006-02-16,12.2449
2006-02-17,10.9091
2006-02-21,-48.5246
2006-02-22,71.9745
2006-02-23,-19.6296
2006-02-24,1.3825
2006-02-27,-9.0909
2006-02-28,-7.5
2006-03-01,-16.2162
2006-03-02,-3.2258
2006-03-03,-10.0
2006-03-06,-0.7407
2006-03-07,-2.9851
2006-03-08,3.8462
2006-03-09,2.963
2006-03-10,-10.0719
2006-03-13,-4.0
2006-03-14,3.3333
2006-03-15,-11.2903
2006-03-16,13.6364
2006-03-17,-8.0
2006-03-20,0.0
2006-03-21,-3.4783
2006-03-22,3.6036
2006-03-23,-13.0435
2006-03-24,0.0
2006-03-27,0.0
2006-03-28,0.0
2006-03-29,-10.0
2006-03-30,-5.5556
2006-03-31,-29.4118
2006-04-03,31.6667
2006-04-04,32.9114
2006-04-05,9.5238
2006-04-06,4.3478
2006-04-07,-3.3333
2006-04-10,2.1552
2006-04-11,-14.767900000000001
2006-04-12,0.0
2006-04-13,0.0
2006-04-17,-9.901
2006-04-18,20.8791
2006-04-19,-27.2727
2006-04-20,12.5
2006-04-21,16.6667
2006-04-24,-4.7619
2006-04-25,0.0
2006-04-26,0.0
2006-04-27,0.0
2006-04-28,0.0
2006-05-01,0.0
2006-05-02,0.0
2006-05-03,0.0
2006-05-04,0.0
2006-05-05,-10.0
2006-05-08,-4.4444
2006-05-09,-12.7907
2006-05-10,40.0
2006-05-11,4.7619
2006-05-12,-13.6364
2006-05-15,10.526299999999999
2006-05-17,0.0
2006-05-18,0.0
