ticker,ATVI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,7.3469
2000-01-04,-3.0418
2000-01-05,0.3922
2000-01-06,-1.9531
2000-01-07,2.7888
2000-01-10,5.0388
2000-01-11,4.428
2000-01-12,-4.2403
2000-01-13,1.107
2000-01-14,-1.0949
2000-01-18,0.369
2000-01-19,-1.4706000000000001
2000-01-20,-5.5969999999999995
2000-01-21,-4.3478
2000-01-24,-0.8264
2000-01-25,-3.3333
2000-01-26,9.4828
2000-01-27,8.2677
2000-01-28,-4.7273
2000-01-31,-4.5802
2000-02-01,8.0
2000-02-02,2.963
2000-02-03,1.0791
2000-02-04,-10.3203
2000-02-07,-4.7619
2000-02-08,-1.6667
2000-02-09,-1.4830999999999999
2000-02-10,-0.6452
2000-02-11,3.0303
2000-02-14,-3.3613
2000-02-15,-2.6087
2000-02-16,0.1116
2000-02-17,0.1115
2000-02-18,-3.7862
2000-02-22,-0.9259
2000-02-23,-2.3364
2000-02-24,0.4785
2000-02-25,-2.8571
2000-02-28,-1.4706000000000001
2000-02-29,0.995
2000-03-01,14.2857
2000-03-02,0.0
2000-03-03,2.1552
2000-03-06,-2.9536
2000-03-07,-4.3478
2000-03-08,-4.0909
2000-03-09,9.4787
2000-03-10,-0.8658
2000-03-13,-5.2402
2000-03-14,2.3041
2000-03-15,-6.3063
2000-03-16,0.0
2000-03-17,0.7212
2000-03-20,3.1026
2000-03-21,-0.463
2000-03-22,-0.4651
2000-03-23,-3.7382999999999997
2000-03-24,5.8252
2000-03-27,-3.6696999999999997
2000-03-28,0.4762
2000-03-29,-0.4739
2000-03-30,-1.9048
2000-03-31,-6.3107
2000-04-03,-7.772
2000-04-04,-4.4944
2000-04-05,0.5882
2000-04-06,3.5088
2000-04-07,-27.1186
2000-04-10,0.0
2000-04-11,-12.7907
2000-04-12,-1.3333
2000-04-13,-0.9009
2000-04-14,-5.4545
2000-04-17,-1.9231
2000-04-18,-0.9804
2000-04-19,-1.4851
2000-04-20,7.5377
2000-04-24,-1.8692
2000-04-25,5.2381
2000-04-26,-3.3937
2000-04-27,1.171
2000-04-28,-7.4074
2000-05-01,0.0
2000-05-02,9.0
2000-05-03,-3.211
2000-05-04,4.7393
2000-05-05,6.7873
2000-05-08,1.6949
2000-05-09,-2.9167
2000-05-10,-15.8798
2000-05-11,10.2041
2000-05-12,1.8519
2000-05-15,6.1364
2000-05-16,-2.3555
2000-05-17,-1.7544
2000-05-18,-4.4643
2000-05-19,0.9346
