ticker,MRNA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-12-07,-19.1304
2018-12-10,1.0753
2018-12-11,-4.2021
2018-12-12,3.7202
2018-12-13,0.4283
2018-12-14,-2.3454
2018-12-17,-7.2052
2018-12-18,0.0
2018-12-19,-4.8235
2018-12-20,-4.2027
2018-12-21,-6.6452
2018-12-24,-3.0408
2018-12-26,-3.6351
2018-12-27,8.358
2018-12-28,-3.413
2018-12-31,7.9152000000000005
2019-01-02,0.3929
2019-01-03,1.1089
2019-01-04,9.4194
2019-01-07,-4.0684
2019-01-08,4.1795
2019-01-09,-3.6578
2019-01-10,0.9186
2019-01-11,3.1553
2019-01-14,-1.5293999999999999
2019-01-15,-0.8961
2019-01-16,-1.9891999999999999
2019-01-17,0.3075
2019-01-18,2.3299
2019-01-22,-6.7705
2019-01-23,-4.9486
2019-01-24,-1.0142
2019-01-25,1.8443
2019-01-28,-3.0852
2019-01-29,1.2457
2019-01-30,3.4176
2019-01-31,9.7158
2019-02-01,-2.2892
2019-02-04,0.3083
2019-02-05,5.5931
2019-02-06,5.5879
2019-02-07,-6.0088
2019-02-08,5.5132
2019-02-11,1.0006
2019-02-12,2.8619
2019-02-13,-0.8561
2019-02-14,6.0982
2019-02-15,9.0539
2019-02-19,-2.8451
2019-02-20,-4.3687000000000005
2019-02-21,-2.9116
2019-02-22,2.7921
2019-02-25,8.9034
2019-02-26,9.4688
2019-02-27,-6.7511
2019-02-28,2.2624
2019-03-01,-1.4602
2019-03-04,-5.1639
2019-03-05,1.1837
2019-03-06,-3.3692
2019-03-07,-0.2906
2019-03-08,1.6513
2019-03-11,-2.3889
2019-03-12,-5.7269
2019-03-13,3.6864
2019-03-14,4.2564
2019-03-15,4.8031
2019-03-18,1.6499000000000001
2019-03-19,-8.2507
2019-03-20,-1.7199
2019-03-21,-3.3
2019-03-22,-1.758
2019-03-25,2.1053
2019-03-26,2.5773
2019-03-27,-3.1658
2019-03-28,2.0239
2019-03-29,3.5097
2019-04-01,1.1794
2019-04-02,-4.3225
2019-04-03,8.2741
2019-04-04,8.2044
2019-04-05,12.4783
2019-04-08,4.8921
2019-04-09,-1.5057
2019-04-10,-0.0746
2019-04-11,-3.9925
2019-04-12,-4.3529
2019-04-15,4.998
2019-04-16,-7.9721
2019-04-17,-1.1775
2019-04-18,-4.2128
2019-04-22,4.9756
2019-04-23,4.5281
2019-04-24,4.2915
2019-04-25,-0.0776
2019-04-26,2.0202
2019-04-29,-4.265
2019-04-30,3.5402
