ticker,SGBH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2009-06-12,233.3333
2009-08-04,60.0
2011-03-04,87.5
2011-03-10,0.0
2011-03-15,-33.3333
2011-03-16,-25.0
2011-03-18,0.0
2011-04-07,0.0
2011-04-11,66.6667
2011-04-14,-60.0
2011-04-19,190.0
2011-04-27,-48.2759
2011-05-27,0.0
2011-05-31,0.0
2011-06-01,13.3333
2011-06-02,0.0
2011-06-03,-11.7647
2011-06-06,20.0
2011-06-07,5.5556
2011-06-08,5.2632
2011-06-16,-30.0
2011-07-29,0.0
2011-08-04,-3.5714
2011-08-25,-40.7407
2011-09-19,-87.5
2015-10-20,900.0
2015-10-21,20.0
2015-10-23,83.3333
2015-10-26,-4.5455
2015-10-27,42.8571
2015-10-28,0.0
2015-10-29,0.0
2015-10-30,10.0
2015-11-03,-9.0909
2015-11-04,26.6667
2015-11-09,-7.8947
2015-11-10,0.0
2015-11-11,0.0
2015-11-12,-28.5714
2015-11-13,104.0
2015-11-16,7.8431
2015-11-19,9.0909
2015-11-23,66.6667
2015-12-01,1.0
2015-12-02,-41.5842
2015-12-03,-32.2034
2015-12-04,152.5
2015-12-10,0.0
2016-02-09,-49.505
2016-02-12,75.4902
2016-02-19,-49.7207
2016-02-22,-22.2222
2016-02-26,-42.8571
2016-03-15,-45.0
2016-03-29,116.3636
2016-03-31,-1.9695
2016-04-01,7.1524
2016-04-28,20.0
2016-04-29,-16.6667
2016-05-03,0.0
2016-05-04,-12.0
2016-05-06,13.6364
2016-05-16,0.0
2016-05-18,0.0
2016-05-23,0.0
2016-05-27,0.0
2016-06-01,20.0
2016-06-07,-32.0
2016-06-15,17.647100000000002
2016-07-11,-37.5
2016-07-12,-66.6667
2016-07-18,196.0
2016-07-20,62.1622
2016-07-26,-66.25
2016-09-13,-38.2716
2016-11-29,860.0
2016-11-30,-70.8333
2016-12-22,-64.2857
2017-05-12,154.0
2017-11-21,-60.6299
2018-06-08,-24.0
2018-09-24,-73.6842
2019-03-15,-98.0
2019-03-25,13900.0
2019-05-03,-96.0714
2019-07-05,0.0
2020-02-27,18.1818
2020-03-30,-15.3846
2020-05-11,18.1818
