ticker,SPCB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2001-08-30,20.0
2001-09-26,0.0
2001-10-02,0.0
2004-01-26,29.1667
2004-04-28,45.1613
2004-10-22,183.3333
2004-11-02,-16.4706
2004-11-05,12.6761
2004-11-08,0.0
2004-11-09,6.25
2004-11-10,-11.7647
2004-11-11,2.2222
2004-11-12,10.8696
2004-11-15,1.9607999999999999
2004-11-16,-7.6923
2004-11-17,4.1667
2004-11-18,-8.0
2004-11-19,0.0
2004-11-22,0.0
2004-11-23,-3.4783
2004-11-24,4.5045
2004-11-26,6.8966
2004-11-29,2.8226
2004-11-30,-1.9607999999999999
2004-12-01,0.0
2004-12-02,2.0
2004-12-03,0.0
2004-12-06,1.9607999999999999
2004-12-07,1.9231
2004-12-08,-1.8868
2004-12-09,-1.9231
2004-12-10,-3.9215999999999998
2004-12-13,6.1224
2004-12-14,-7.6923
2004-12-15,0.0
2004-12-16,0.0
2004-12-17,2.0833
2004-12-20,-6.9388
2004-12-21,0.0
2004-12-22,-1.3158
2004-12-23,-2.2222
2004-12-27,-2.2727
2004-12-28,2.3256
2004-12-29,-2.7273
2004-12-30,1.8692
2004-12-31,0.0
2005-01-03,0.9174
2005-01-04,11.3636
2005-01-05,2.8571
2005-01-06,-0.3968
2005-01-07,1.992
2005-01-10,-0.3906
2005-01-11,-2.7451
2005-01-12,0.8065
2005-01-13,-2.0
2005-01-14,2.0408
2005-01-18,-2.0
2005-01-19,-2.0408
2005-01-20,-1.6667
2005-01-21,1.6949
2005-01-24,-0.4167
2005-01-25,0.4184
2005-01-26,0.0
2005-01-27,0.0
2005-01-28,-3.75
2005-01-31,-0.4329
2005-02-01,-0.8696
2005-02-02,5.2632
2005-02-03,0.0
2005-02-04,0.0
2005-02-07,-1.6667
2005-02-08,-2.5423999999999998
2005-02-09,-1.3043
2005-02-10,3.0837
2005-02-11,1.2821
2005-02-14,0.0
2005-02-15,1.2658
2005-02-16,0.0
2005-02-17,2.0833
2005-02-18,1.6327
2005-02-22,-3.6145
2005-02-23,0.0
2005-02-24,0.4167
2005-02-25,-2.4896
2005-02-28,0.8511
2005-03-01,5.9072
2005-03-02,0.0
2005-03-03,-1.1952
2005-03-04,-2.0161
2005-03-07,-1.2346
2005-03-08,-0.4167
2005-03-09,2.0921
2005-03-10,-0.4098
2005-03-11,0.823
2005-03-14,-0.4082
2005-03-15,0.4098
2005-03-16,0.0
2005-03-17,-2.8571
2005-03-18,0.8403
2005-03-21,-2.0833
