ticker,SGLRF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-07-13,4.0361
2010-07-14,0.257
2010-07-15,-3.1898
2010-07-16,-4.693
2010-07-19,-5.6737
2010-07-20,-3.5007
2010-07-21,2.7811
2010-07-22,9.8237
2010-07-23,2.3286
2010-07-26,-1.114
2010-07-27,-1.6036000000000001
2010-07-28,-1.7687
2010-07-29,-1.4211
2010-07-30,-0.1826
2010-08-02,-0.1438
2010-08-03,-0.4319
2010-08-04,1.0648
2010-08-05,2.7681
2010-08-06,-3.3644
2010-08-09,-1.8271
2010-08-10,-1.6743000000000001
2010-08-11,-2.6281
2010-08-12,-0.8126
2010-08-13,0.3916
2010-08-16,0.0665
2010-08-17,1.9184999999999999
2010-08-18,0.8533
2010-08-19,-1.8044
2010-08-20,-0.8504
2010-08-23,-0.0297
2010-08-24,-1.5918
2010-08-25,-1.9886
2010-08-26,-1.2101
2010-08-27,1.0783
2010-08-30,-3.0116
2010-08-31,0.1721
2010-09-01,0.8291
2010-09-02,1.5501
2010-09-03,1.3404
2010-09-07,-2.4331
2010-09-08,1.0624
2010-09-09,6.4462
2010-09-10,2.7227
2010-09-13,4.8204
2010-09-14,0.7468
2010-09-15,-0.9942
2010-09-16,-2.1456
2010-09-17,-3.4195
2010-09-20,2.027
2010-09-21,-1.7748
2010-09-22,-0.7956
2010-09-23,-1.5835
2010-09-24,0.9599
2010-09-27,0.0684
2010-09-28,0.2051
2010-09-29,1.3643
2010-09-30,1.6151
2010-10-01,2.3841
2010-10-04,-2.1992
2010-10-05,1.0582
2010-10-06,-0.5236
2010-10-07,-0.5987
2010-10-08,0.2052
2010-10-11,-1.7173
2010-10-12,-0.2688
2010-10-13,1.4825
2010-10-14,0.1328
2010-10-15,-1.3329
2010-10-18,-0.5309
2010-10-19,-1.9889999999999999
2010-10-20,1.6158000000000001
2010-10-21,-1.2212
2010-10-22,0.1374
2010-10-25,0.6859
2010-10-26,-0.9111
2010-10-27,-2.2359999999999998
2010-10-28,-0.5696
2010-10-29,2.3241
2010-11-01,1.4333
2010-11-02,0.9812
2010-11-03,-0.2227
2010-11-04,2.6442
2010-11-05,0.0132
2010-11-08,2.8327
2010-11-09,2.1397
2010-11-10,1.0474
2010-11-11,-0.9497
2010-11-12,-2.87
2010-11-15,0.6452
2010-11-16,-3.8462
2010-11-17,2.6867
2010-11-18,2.5774
2010-11-19,0.3797
2010-11-22,-0.1639
2010-11-23,0.2905
2010-11-24,-1.5112999999999999
2010-11-26,-0.8951
