ticker,OMWS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-05-29,40.0
2019-06-06,7.1429
2019-06-17,10.0
2019-06-26,21.2121
2019-07-02,54.5
2019-07-03,-19.0939
2019-07-05,0.0
2019-07-09,6.8
2019-07-10,124.7191
2019-07-18,-33.3333
2019-07-19,12.5
2019-08-30,-11.1111
2019-10-23,5.0
2020-03-18,19.0476
2020-03-20,405.496
2020-03-23,20.0
2020-03-25,-57.9167
2020-03-26,182.1782
2020-04-06,5.2632
2020-04-16,0.0
2020-04-17,-33.3333
2020-04-24,2.5
2020-04-30,-2.439
2020-05-22,0.0
2020-05-26,0.0
2020-06-01,0.0
2020-06-02,0.0
2020-06-11,0.0
2020-06-12,0.0
2020-06-16,-2.5
2020-06-19,2.5641
2020-06-23,50.0
