ticker,IMII US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2009-12-01,0.0
2010-02-04,110.0
2010-02-19,38.0952
2010-03-10,14555.1724
2010-03-11,0.0
2010-03-12,0.0
2010-03-18,0.0
2010-03-25,0.0
2010-04-05,17.647100000000002
2010-04-06,15.0
2010-04-08,-30.4348
2010-04-12,37.5
2010-04-13,-27.2727
2010-04-19,26.25
2010-04-30,3.9604
2010-05-03,10.4762
2010-05-04,3.4483
2010-05-05,6.6667
2010-05-06,2.3438
2010-05-07,-1.5267
2010-05-10,10.8527
2010-05-11,-2.7972
2010-05-12,-2.1583
2010-05-13,-2.2059
2010-05-14,5.2632
2010-05-17,-7.1429
2010-05-18,6.1538
2010-05-19,-2.1739
2010-05-20,-18.5185
2010-05-21,4.5455
2010-05-24,13.0435
2010-05-25,-20.7692
2010-05-26,10.6796
2010-05-27,-8.7719
2010-05-28,10.5769
2010-06-01,3.4783
2010-06-02,0.0
2010-06-03,-0.8403
2010-06-04,0.0
2010-06-07,-11.0169
2010-06-08,-2.8571
2010-06-09,9.8039
2010-06-10,-10.7143
2010-06-11,-9.0
2010-06-14,-1.0989
2010-06-15,-15.5556
2010-06-16,-7.8947
2010-06-17,7.1429
2010-06-18,-6.6667
2010-06-21,20.7143
2010-06-22,-0.5917
2010-06-23,1.1905000000000001
2010-06-24,-5.8824
2010-06-25,-10.0
2010-06-28,-2.7778
2010-06-29,-25.7143
2010-06-30,0.0
2010-07-01,-13.461500000000001
2010-07-02,11.1111
2010-07-06,0.0
2010-07-07,-10.0
2010-07-08,0.0
2010-07-09,33.3333
2010-07-12,23.3333
2010-07-13,1.3514
2010-07-14,-2.6667
2010-07-15,-5.4795
2010-07-16,-5.7971
2010-07-19,16.9231
2010-07-20,11.8421
2010-07-21,0.0
2010-07-22,17.647100000000002
2010-07-23,7.0
2010-07-26,8.411200000000001
2010-07-27,-10.3448
2010-07-28,-5.7692
2010-07-29,-13.2653
2010-07-30,5.8824
2010-08-02,4.4444
2010-08-03,-2.1277
2010-08-04,3.2609
2010-08-05,-4.2105
2010-08-06,3.2967
2010-08-09,-3.1915
2010-08-10,-3.2967
2010-08-11,-5.6818
2010-08-12,-1.2048
2010-08-13,-4.878
2010-08-16,8.9744
2010-08-17,8.2353
2010-08-18,7.6087
2010-08-19,-4.0404
2010-08-20,-7.3684
2010-08-23,-1.1364
2010-08-24,-5.7471
2010-08-25,-10.9756
2010-08-26,1.387
2010-08-27,-9.4748
2010-08-30,14.9254
