ticker,TRUL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-03-22,-16.6667
2007-03-23,4.0
2007-03-26,0.0
2007-04-09,-3.8462
2007-04-24,4.0
2007-04-25,0.0
2007-05-24,-3.8462
2007-05-25,-8.0
2007-05-30,-13.0435
2007-06-19,0.0
2007-06-29,0.0
2007-07-09,-15.0
2007-07-12,-12.9412
2007-07-17,-13.5135
2007-07-18,-12.5
2007-07-19,-26.7857
2007-07-24,0.0
2007-08-01,0.0
2007-08-08,0.0
2007-08-09,95.122
2007-08-10,12.5
2007-08-13,5.5556
2007-08-14,0.0
2007-08-15,-13.6842
2007-08-16,-36.5854
2007-08-21,-21.1538
2007-08-28,46.3415
2007-08-29,25.0
2007-08-30,0.0
2007-09-07,-44.0
2007-10-15,-4.7619
2007-10-16,87.5
2007-10-19,14.6667
2007-10-23,0.0
2007-10-25,0.0
2007-10-30,-11.6279
2007-11-26,-32.8947
2007-12-13,21.5686
2007-12-14,1.6129
2007-12-26,4.7619
2008-01-23,-9.0909
2008-01-24,-15.0
2008-01-28,0.0
2008-02-01,-21.5686
2008-02-07,-12.5
2008-02-08,14.2857
2008-02-15,75.0
2008-03-06,-42.8571
2008-03-31,75.0
2008-04-15,-42.8571
2008-04-22,-20.0
2008-05-06,18.75
2008-05-16,0.0
2008-07-15,-73.6842
2008-10-29,500.0
2008-10-30,-75.0
2008-11-06,0.0
2008-11-11,33.3333
2008-11-12,-45.0
2008-11-19,0.0
2008-12-02,0.0
2008-12-18,9.0909
2009-02-20,-8.3333
2009-05-18,-90.9091
2009-06-10,0.0
2009-07-16,0.0
2011-06-16,100.0
2011-06-21,0.0
2011-06-24,0.0
2011-11-22,100.0
2012-01-06,525.0
2012-01-11,0.0
2012-01-12,0.0
2012-05-14,-84.0
2012-09-19,-50.0
2012-12-14,0.0
2013-06-17,-25.0
2013-12-10,33.3333
2014-01-02,0.0
2014-01-09,0.0
2014-01-29,-55.0
2014-01-30,0.0
2014-08-04,11.1111
2014-08-07,0.0
2014-11-17,0.0
2015-05-05,0.0
2015-12-21,0.0
2016-01-14,0.0
2016-02-17,0.0
2016-03-02,0.0
2016-04-14,200.0
2016-04-15,333.3333
2016-05-05,-23.0769
2016-06-02,-90.0
2016-07-19,0.0
2016-08-18,0.0
2016-08-29,0.0
2017-01-11,0.0
2017-05-01,900.0
2017-05-04,0.0
2017-05-08,0.0
2017-08-07,-90.0
2017-12-05,3.0
2017-12-28,1.9417
2018-01-16,1233.3333
2018-01-17,-92.5
