ticker,PGSC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-06-25,25.7143
2014-06-26,38.6364
2014-06-27,104.918
2014-06-30,28.0
2014-07-01,-6.25
2014-07-02,9.3333
2014-07-03,52.439
2014-07-07,-30.4
2014-07-08,23.5632
2014-07-09,0.0
2014-07-10,0.0
2014-07-11,4.6512
2014-07-14,2.2222
2014-07-15,28.2609
2014-07-16,10.1695
2014-07-17,-3.6923
2014-07-22,-1.5974
2014-07-23,-20.7792
2014-07-25,2.0492
2014-07-28,1.2048
2014-07-31,-38.4921
2014-08-01,26.4516
2014-08-04,2.0408
2014-08-29,-6.0
2014-09-02,-38.8298
2014-09-03,13.0435
2014-09-15,-11.538499999999999
2014-09-16,73.0435
2014-09-17,0.0
2014-09-22,-20.603
2014-09-23,-5.0633
2014-09-24,0.0
2014-09-25,-5.3333
2014-09-26,3.5211
2014-09-29,2.0408
2014-09-30,0.0
2014-10-01,-10.0
2014-10-02,-3.7037
2014-10-03,-4.6154
2014-10-07,0.0
2014-10-08,-16.9355
2014-10-09,0.9709
2014-10-10,0.0
2014-10-14,0.0
2014-10-15,0.9615
2014-10-16,26.6667
2014-10-17,-47.3684
2014-10-20,107.1429
2014-10-22,-29.6552
2014-10-24,2.9412000000000003
2014-10-28,20.0
2014-10-31,-24.6032
2014-11-03,-21.0526
2014-11-04,57.3333
2014-11-05,-36.4407
2014-11-06,1.3333
2014-11-10,31.5789
2014-11-11,0.0
2014-11-12,3.0
2014-11-13,16.5049
2014-11-14,4.1667
2014-11-17,-16.0
2014-11-18,4.7619
2014-11-19,0.0
2014-11-20,-8.1818
2014-11-24,8.9109
2014-11-25,-45.4432
2014-11-26,83.2951
2014-12-02,4.5455
2014-12-04,-46.9565
2014-12-05,63.9344
2014-12-09,0.0
2014-12-16,0.0
2014-12-17,0.0
2014-12-18,0.0
2014-12-22,-73.9875
2014-12-24,245.9875
2014-12-26,0.0
2014-12-29,-5.5556
2014-12-31,69.4118
2015-01-02,-40.9722
2015-01-05,0.0
2015-01-06,-5.8824
2015-01-07,0.0
2015-01-08,6.25
2015-01-15,-56.8676
2015-01-16,-2.7617000000000003
2015-01-21,3.7868
2015-01-22,170.2703
2015-01-26,-30.0
2015-01-28,0.0
2015-01-30,-19.2857
2015-02-02,23.8938
2015-02-10,8.5714
2015-02-18,-7.8947
2015-02-19,14.2857
2015-02-20,2.5
2015-02-23,0.0
2015-02-25,76.8293
2015-02-26,37.931
2015-02-27,-12.5
2015-03-02,-14.2857
