ticker,UVFT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2009-12-11,0.0
2009-12-15,-30.0
2009-12-16,-3.5714
2009-12-17,-3.7037
2009-12-18,0.0
2009-12-21,23.0769
2009-12-22,-15.625
2009-12-23,1.8519
2009-12-24,1.4545
2009-12-28,0.3584
2009-12-29,5.3571
2009-12-30,5.0847
2009-12-31,3.2258
2010-01-04,0.0
2010-01-05,6.25
2010-01-06,-7.3529
2010-01-07,-4.7619
2010-01-08,-5.6667
2010-01-11,-1.0601
2010-01-12,7.1429
2010-01-13,0.0
2010-01-14,3.3333
2010-01-15,-3.2258
2010-01-19,6.6667
2010-01-20,-3.125
2010-01-21,0.0
2010-01-22,3.2258
2010-01-25,15.625
2010-01-26,-2.7027
2010-01-27,-2.7778
2010-01-28,2.8571
2010-01-29,-2.7778
2010-02-01,8.5714
2010-02-02,0.0
2010-02-03,-0.2632
2010-02-04,-7.6517
2010-02-05,11.4286
2010-02-08,-5.1282
2010-02-09,0.0
2010-02-10,0.0
2010-02-11,0.0
2010-02-12,8.1081
2010-02-16,0.0
2010-02-17,-7.0
2010-02-18,0.8065
2010-02-19,-4.0
2010-02-22,5.5556
2010-02-23,-7.8947
2010-02-24,0.0
2010-02-25,0.0
2010-02-26,0.0
2010-03-01,0.0
2010-03-02,0.0
2010-03-03,0.0
2010-03-04,0.0
2010-03-05,0.0
2010-03-08,0.0
2010-03-09,0.0
2010-03-10,0.0
2010-03-11,0.0
2010-03-12,0.0
2010-03-15,0.0
2010-03-16,-8.5714
2010-03-18,15.625
2010-03-19,-8.1081
2010-03-22,3.0882
2010-03-23,-0.1427
2010-03-24,-10.0
2010-03-25,11.0714
2010-03-30,-3.1083
2010-04-01,-8.5546
2010-04-05,9.6774
2010-04-06,-2.9412000000000003
2010-04-07,3.0303
2010-04-08,-11.7647
2010-04-12,3.3333
2010-04-13,-3.2258
2010-04-14,0.3333
2010-04-15,0.0
2010-04-16,-0.3322
2010-04-21,-6.6667
2010-04-22,3.5714
2010-04-23,0.0
2010-04-27,-3.4483
2010-04-28,3.5714
2010-04-29,0.0
2010-04-30,10.3448
2010-05-03,0.0
2010-05-04,12.5
2010-05-05,-5.5556
2010-05-10,-14.7059
2010-05-11,13.7931
2010-05-12,0.0
2010-05-13,12.1212
2010-05-14,0.0
2010-05-17,2.7027
2010-05-18,2.6316
2010-05-19,2.5641
2010-05-20,-6.25
2010-05-21,4.0
2010-05-24,-2.5641
2010-05-25,-10.526299999999999
2010-05-26,14.7059
