ticker,AVID US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,0.4785
2000-01-04,-6.4286
2000-01-05,-1.2723
2000-01-06,-2.0619
2000-01-07,2.6316
2000-01-10,-0.5128
2000-01-11,-3.0928
2000-01-12,-2.6596
2000-01-13,4.3716
2000-01-14,-1.0471
2000-01-18,19.5767
2000-01-19,0.885
2000-01-20,4.386
2000-01-21,-2.521
2000-01-24,-5.1724
2000-01-25,1.3636
2000-01-26,0.8969
2000-01-27,-1.3333
2000-01-28,-4.7297
2000-01-31,-3.0733
2000-02-01,-1.9512
2000-02-02,10.4478
2000-02-03,-6.3063
2000-02-04,-2.8846
2000-02-07,-0.9901
2000-02-08,-2.0
2000-02-09,0.0
2000-02-10,5.102
2000-02-11,7.767
2000-02-14,5.4054
2000-02-15,2.1368
2000-02-16,-2.9289
2000-02-17,1.7241
2000-02-18,-2.5423999999999998
2000-02-22,2.6087
2000-02-23,-1.2711999999999999
2000-02-24,0.0
2000-02-25,2.1459
2000-02-28,13.4454
2000-02-29,4.0741
2000-03-01,5.694
2000-03-02,-4.0404
2000-03-03,2.807
2000-03-06,4.0956
2000-03-07,13.7705
2000-03-08,3.7464
2000-03-09,8.8889
2000-03-10,0.0
2000-03-13,-3.5714
2000-03-14,-6.8783
2000-03-15,-5.9658999999999995
2000-03-16,5.7402
2000-03-17,-2.8571
2000-03-20,-6.4706
2000-03-21,1.2579
2000-03-22,4.3478
2000-03-23,-2.9018
2000-03-24,2.3755
2000-03-27,0.2994
2000-03-28,-0.8955
2000-03-29,-1.506
2000-03-30,-11.9266
2000-03-31,-0.6944
2000-04-03,2.0979
2000-04-04,0.1712
2000-04-05,-3.2479
2000-04-06,2.8269
2000-04-07,13.0584
2000-04-10,-5.1672
2000-04-11,-11.538499999999999
2000-04-12,-8.6957
2000-04-13,-9.7222
2000-04-14,-17.3626
2000-04-17,-10.6383
2000-04-18,9.5238
2000-04-19,10.8696
2000-04-20,-6.8627
2000-04-24,-4.2105
2000-04-25,4.3956
2000-04-26,13.1579
2000-04-27,-6.5116
2000-04-28,9.4527
2000-05-01,5.4545
2000-05-02,-9.2672
2000-05-03,-4.9881
2000-05-04,2.5
2000-05-05,0.0
2000-05-08,-6.8293
2000-05-09,-0.5236
2000-05-10,-7.8947
2000-05-11,3.4286
2000-05-12,2.2099
2000-05-15,2.7027
2000-05-16,0.5263
2000-05-17,-2.0942
2000-05-18,-8.0214
2000-05-19,3.4884
2000-05-22,-2.809
2000-05-23,-1.7341
