ticker,EQBK US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-11-11,6.1778
2015-11-12,1.0883
2015-11-13,-0.6625
2015-11-16,0.917
2015-11-17,0.9913
2015-11-18,-1.1452
2015-11-19,-0.2482
2015-11-20,-0.0415
2015-11-23,-0.0415
2015-11-24,0.1245
2015-11-25,0.2488
2015-11-27,-0.3722
2015-11-30,0.4151
2015-12-01,0.2067
2015-12-02,-0.3713
2015-12-03,-0.6211
2015-12-04,0.0
2015-12-07,0.0
2015-12-08,-0.625
2015-12-09,0.0419
2015-12-10,-1.4668999999999999
2015-12-11,-2.1693
2015-12-14,0.2174
2015-12-15,2.6464
2015-12-16,0.2959
2015-12-17,0.295
2015-12-18,-0.2101
2015-12-21,-0.5053
2015-12-22,1.0157
2015-12-23,2.0528
2015-12-24,-2.7094
2015-12-28,-1.4346
2015-12-29,-0.2568
2015-12-30,0.0
2015-12-31,0.3863
2016-01-04,-0.6841
2016-01-05,1.2484
2016-01-06,1.7431999999999999
2016-01-07,-0.1254
2016-01-08,-0.251
2016-01-11,0.4195
2016-01-12,-0.0418
2016-01-13,-0.2089
2016-01-14,-1.7168999999999999
2016-01-15,-0.5113
2016-01-19,-2.6981
2016-01-20,1.0563
2016-01-21,-0.7404
2016-01-22,0.8776
2016-01-25,-3.9147
2016-01-26,-1.0412
2016-01-27,-4.849
2016-01-28,1.9712
2016-01-29,3.7247
2016-02-01,-0.5455
2016-02-02,-0.5941
2016-02-03,0.6897
2016-02-04,0.9132
2016-02-05,-0.362
2016-02-08,0.4087
2016-02-09,-0.4523
2016-02-10,-4.3162
2016-02-11,-0.8547
2016-02-12,-0.5268
2016-02-16,0.337
2016-02-17,-0.9117
2016-02-18,-0.2906
2016-02-19,0.7285
2016-02-22,0.7715
2016-02-23,0.0478
2016-02-24,-0.2869
2016-02-25,0.6715
2016-02-26,-0.3811
2016-02-29,-0.0956
2016-03-01,0.1436
2016-03-02,-0.1434
2016-03-03,0.0479
2016-03-04,-0.5742
2016-03-07,1.1068
2016-03-08,-0.238
2016-03-09,1.0496
2016-03-10,-0.9915
2016-03-11,2.0505
2016-03-14,0.3271
2016-03-15,-1.1178
2016-03-16,-0.8479
2016-03-17,-1.0451
2016-03-18,2.3524
2016-03-21,-1.0319
2016-03-22,0.4265
2016-03-23,-0.1416
2016-03-24,-0.6616
2016-03-28,1.3796
2016-03-29,-2.6748
2016-03-30,1.2054
2016-03-31,0.0476
2016-04-01,0.0952
2016-04-04,-0.0951
