ticker,ENTA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-03-21,22.7143
2013-03-22,-2.1537
2013-03-25,0.119
2013-03-26,1.5449000000000002
2013-03-27,0.0
2013-03-28,6.495
2013-04-01,9.5055
2013-04-02,1.154
2013-04-03,-1.1409
2013-04-04,-0.4516
2013-04-05,2.5202
2013-04-08,2.2616
2013-04-09,-0.7212
2013-04-10,5.0363
2013-04-11,-2.6279
2013-04-12,-6.8182
2013-04-15,3.4045
2013-04-16,-1.7199
2013-04-17,-0.5
2013-04-18,3.7186
2013-04-19,-2.4709
2013-04-22,1.4903
2013-04-23,2.7411
2013-04-24,0.0953
2013-04-25,-11.8515
2013-04-26,11.3391
2013-04-29,-0.9214
2013-04-30,-2.3005
2013-05-01,-1.1522999999999999
2013-05-02,-0.8109
2013-05-03,-1.022
2013-05-06,2.7362
2013-05-07,0.1005
2013-05-08,0.753
2013-05-09,-0.0997
2013-05-10,-0.7481
2013-05-13,-0.5528
2013-05-14,-0.1516
2013-05-15,3.2389
2013-05-16,2.2059
2013-05-17,0.1439
2013-05-20,-0.8621
2013-05-21,-1.4493
2013-05-22,-1.6667
2013-05-23,-0.997
2013-05-24,0.7049
2013-05-28,-0.25
2013-05-29,-0.8521
2013-05-30,-1.4156
2013-05-31,-0.1026
2013-06-03,-2.6181
2013-06-04,-2.1086
2013-06-05,1.7231999999999998
2013-06-06,-0.7411
2013-06-07,0.2667
2013-06-10,0.1064
2013-06-11,-0.3188
2013-06-12,-3.1983
2013-06-13,-3.9097
2013-06-14,-3.3238
2013-06-17,-2.2525
2013-06-18,7.4591
2013-06-19,0.1129
2013-06-20,-1.522
2013-06-21,0.7441
2013-06-24,1.6477
2013-06-25,0.6149
2013-06-26,1.1111
2013-06-27,-1.1538
2013-06-28,-1.5564
2013-07-01,-2.3715
2013-07-02,1.3302
2013-07-03,-1.5981999999999998
2013-07-05,0.8121
2013-07-08,1.8412
2013-07-09,2.2599
2013-07-10,4.9724
2013-07-11,-3.7368
2013-07-12,-2.6791
2013-07-15,0.8989
2013-07-16,-1.5032999999999999
2013-07-17,5.7094000000000005
2013-07-18,-2.7273
2013-07-19,-2.9687
2013-07-22,-1.1898
2013-07-23,-1.3761
2013-07-24,-0.0581
2013-07-25,1.4543
2013-07-26,-0.4014
2013-07-29,-2.2453
2013-07-30,0.1767
2013-07-31,7.8189
2013-08-01,4.5802
2013-08-02,-1.3034
2013-08-05,0.898
2013-08-06,-0.9424
2013-08-07,-4.3869
