ticker,CWK US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-08-02,4.7647
2018-08-03,4.155
2018-08-06,-0.2695
2018-08-07,-0.7568
2018-08-08,-1.2527
2018-08-09,0.4964
2018-08-10,-1.2075
2018-08-13,-0.5
2018-08-14,0.5583
2018-08-15,-2.1655
2018-08-16,-0.8513
2018-08-17,2.1179
2018-08-20,0.0561
2018-08-21,-0.1681
2018-08-22,-1.908
2018-08-23,0.4005
2018-08-24,0.5698
2018-08-27,1.0765
2018-08-28,0.8969
2018-08-29,-1.0
2018-08-30,-0.3928
2018-08-31,-0.507
2018-09-04,-0.6229
2018-09-05,0.057
2018-09-06,2.6765
2018-09-07,-0.4992
2018-09-10,2.0067
2018-09-11,1.5847
2018-09-12,-1.0758
2018-09-13,-1.6313
2018-09-14,-0.3317
2018-09-17,-1.2757
2018-09-18,0.7865
2018-09-19,-1.728
2018-09-20,2.0987
2018-09-21,0.0
2018-09-24,-0.0556
2018-09-25,-2.3902
2018-09-26,-0.5125
2018-09-27,-2.4041
2018-09-28,-0.3519
2018-10-01,-0.7652
2018-10-02,-1.9573
2018-10-03,-0.9074
2018-10-04,1.7705
2018-10-05,-0.7199
2018-10-08,-1.0876
2018-10-09,-0.4887
2018-10-10,-5.9546
2018-10-11,1.1749
2018-10-12,2.4516
2018-10-15,1.9521
2018-10-16,1.9148
2018-10-17,-1.0303
2018-10-18,-1.7759
2018-10-19,-0.3117
2018-10-22,-0.9381
2018-10-23,-1.5152
2018-10-24,-0.2564
2018-10-25,3.6632
2018-10-26,-0.558
2018-10-29,-0.9975
2018-10-30,1.0705
2018-10-31,1.3084
2018-11-01,0.861
2018-11-02,0.2439
2018-11-05,0.0608
2018-11-06,3.8298
2018-11-07,2.1663
2018-11-08,1.7765
2018-11-09,-0.3378
2018-11-12,-6.8927
2018-11-13,2.2451
2018-11-14,10.6825
2018-11-15,-1.9303
2018-11-16,0.0547
2018-11-19,-0.2186
2018-11-20,-3.7788
2018-11-21,1.7644
2018-11-23,1.3423
2018-11-26,0.2759
2018-11-27,-0.1101
2018-11-28,1.1019
2018-11-29,1.2534
2018-11-30,0.2153
2018-12-03,2.0408
2018-12-04,-3.2632
2018-12-06,-0.9793
2018-12-07,-0.2747
2018-12-10,-1.4325
2018-12-11,0.2236
2018-12-12,-1.952
2018-12-13,-2.3891
2018-12-14,-3.2051
2018-12-17,-3.1306
2018-12-18,0.6837
2018-12-19,-3.1481
2018-12-20,-5.0988
2018-12-21,-2.955
