ticker,UMHL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-12-01,6.6667
2009-02-10,-37.5
2009-02-12,20.0
2009-02-13,16.6667
2009-02-17,21.4286
2009-02-19,5.8824
2009-02-23,0.0
2009-02-24,0.0
2009-02-25,0.0
2009-03-03,11.1111
2009-06-12,-85.0
2009-07-29,566.6667
2009-08-10,0.0
2009-08-13,-80.0
2009-08-31,0.0
2009-09-02,400.0
2009-09-18,5.0
2009-09-23,0.0
2009-10-02,4.7619
2009-10-26,-18.1818
2009-10-27,38.8889
2010-02-05,-28.0
2010-02-17,0.0
2010-03-17,0.0
2010-05-04,183.3333
2010-11-22,-80.3922
2011-02-04,100.0
2011-02-09,-50.0
2011-05-19,0.0
2011-08-16,0.0
2011-08-31,-40.0
2011-10-31,-16.6667
2011-11-29,20.0
2011-12-02,-50.0
2012-03-20,0.0
2012-03-21,-33.3333
2012-03-23,-50.0
2012-04-11,0.0
2012-04-17,0.0
2012-04-30,1.25
2012-10-15,-1.2346
2013-04-24,400.0
2014-04-11,500.0
2014-04-14,-76.6667
2014-04-15,-7.1429
2014-04-25,53.8462
2014-06-11,0.0
2014-06-30,50.0
2014-07-01,0.0
2014-07-03,-13.3333
2014-07-09,-15.3846
2014-07-14,-9.0909
2014-07-18,0.0
2014-07-22,-20.0
2014-07-23,0.0
2014-07-25,-12.5
2014-08-08,0.0
2014-08-28,85.7143
2014-08-29,0.0
2014-09-02,0.0
2014-09-04,-23.0769
2014-09-09,0.0
2014-09-10,-20.0
2014-09-11,50.0
2014-09-16,-16.6667
2014-09-19,-10.0
2014-10-02,-11.1111
2014-10-03,0.0
2014-10-07,0.0
2014-10-17,-25.0
2014-10-22,0.0
2014-11-03,0.0
2014-11-12,0.0
2014-11-17,6.6667
2014-11-21,-6.25
2014-12-12,0.0
2014-12-22,0.0
2014-12-23,0.0
2015-01-12,0.0
2015-01-28,0.0
2015-02-23,0.0
2015-02-27,-16.6667
2015-03-02,-20.0
2015-03-06,0.0
2015-03-16,50.0
2015-03-20,0.0
2015-03-23,0.0
2015-03-24,0.0
2015-03-27,-6.6667
2015-03-31,-28.5714
2015-04-13,50.0
2015-04-14,0.0
2015-04-21,-8.3333
2015-04-27,9.0909
2015-04-28,133.3333
2015-05-01,-14.2857
2015-05-08,0.0
2015-05-18,0.0
2015-05-21,0.0
2015-05-22,0.0
2015-05-28,0.0
2015-06-03,0.0
2015-06-09,-16.6667
2015-06-15,20.0
2015-06-18,-25.0
2015-06-19,0.0
