ticker,MMYT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-08-12,88.9286
2010-08-13,-5.0284
2010-08-16,-1.7913999999999999
2010-08-17,29.5095
2010-08-18,2.6291
2010-08-19,-7.0753
2010-08-20,-7.9422
2010-08-23,7.3084
2010-08-24,7.309
2010-08-25,-3.096
2010-08-26,7.4441
2010-08-27,3.5088
2010-08-30,-4.0506
2010-08-31,1.7964
2010-09-01,-2.5294
2010-09-02,-1.4484
2010-09-03,0.7348
2010-09-07,-2.614
2010-09-08,5.025
2010-09-09,9.0045
2010-09-10,0.0
2010-09-13,8.1788
2010-09-14,-4.9899000000000004
2010-09-15,1.8302
2010-09-16,5.4181
2010-09-17,-4.5614
2010-09-20,-2.2111
2010-09-21,-9.7961
2010-09-22,-2.2894
2010-09-23,14.1484
2010-09-24,2.7632
2010-09-27,3.073
2010-09-28,-1.5652
2010-09-29,0.2272
2010-09-30,-2.342
2010-10-01,-0.4642
2010-10-04,-0.7772
2010-10-05,-2.5326
2010-10-06,-5.0094
2010-10-07,-2.6791
2010-10-08,1.8835
2010-10-11,6.4846
2010-10-12,-0.8814
2010-10-13,1.3473
2010-10-14,-1.9942
2010-10-15,2.0347
2010-10-18,-1.1699
2010-10-19,-3.4167
2010-10-20,3.5
2010-10-21,1.6242
2010-10-22,2.9396
2010-10-25,-4.1677
2010-10-26,2.7651
2010-10-27,-1.0449
2010-10-28,-2.6421
2010-10-29,-1.923
2010-11-01,-0.7741
2010-11-02,-6.4085
2010-11-03,1.1015
2010-11-04,-1.7372999999999998
2010-11-05,-3.8358
2010-11-08,-0.2805
2010-11-09,4.0625
2010-11-10,3.3637
2010-11-11,12.6089
2010-11-12,-1.5741
2010-11-15,-26.5531
2010-11-16,-0.2855
2010-11-17,-1.5390000000000001
2010-11-18,-0.6543
2010-11-19,-1.0026
2010-11-22,10.5855
2010-11-23,-4.1444
2010-11-24,0.9763
2010-11-26,0.1036
2010-11-29,-1.5523
2010-11-30,-0.1051
2010-12-01,-0.2806
2010-12-02,-0.2462
2010-12-03,-1.3047
2010-12-06,-2.2151
2010-12-07,-2.7401999999999997
2010-12-08,-3.1931
2010-12-09,-6.0147
2010-12-10,3.014
2010-12-13,1.7635
2010-12-14,2.3237
2010-12-15,2.1555
2010-12-16,1.5072
2010-12-17,7.461
2010-12-20,-0.9326
2010-12-21,-2.5105
2010-12-22,-0.0358
2010-12-23,-0.1789
2010-12-27,-1.362
2010-12-28,1.9985
2010-12-29,-0.7838
2010-12-30,0.0
