ticker,SHO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-10-21,0.0
2004-10-22,-1.4118
2004-10-25,-0.0597
2004-10-26,-0.2985
2004-10-27,1.018
2004-10-28,-0.1186
2004-10-29,0.0
2004-11-01,0.7122
2004-11-02,0.6482
2004-11-03,0.1756
2004-11-04,0.8767
2004-11-05,-1.9699
2004-11-08,0.8274
2004-11-09,0.2345
2004-11-10,0.5263
2004-11-11,0.6981
2004-11-12,0.8088
2004-11-15,1.3181
2004-11-16,-0.9615
2004-11-17,-0.6282
2004-11-18,-0.2874
2004-11-19,-0.8646
2004-11-22,0.9884
2004-11-23,-0.2879
2004-11-24,1.9053
2004-11-26,0.0
2004-11-29,0.0567
2004-11-30,3.4541
2004-12-01,0.1642
2004-12-02,0.9836
2004-12-03,1.461
2004-12-06,3.36
2004-12-07,0.1032
2004-12-08,1.2887
2004-12-09,1.0687
2004-12-10,0.1511
2004-12-13,0.0
2004-12-14,0.4525
2004-12-15,0.1001
2004-12-16,-0.55
2004-12-17,2.5138
2004-12-20,-0.4414
2004-12-21,-0.7389
2004-12-22,0.7444
2004-12-23,0.2463
2004-12-27,-0.2457
2004-12-28,2.5122999999999998
2004-12-29,-1.6098
2004-12-30,0.7925
2004-12-31,2.113
2005-01-03,0.9143
2005-01-04,-1.0014
2005-01-05,-0.3854
2005-01-06,3.6267
2005-01-07,-1.2133
2005-01-10,-0.2362
2005-01-11,-0.0947
2005-01-12,-3.7441
2005-01-13,-0.5416
2005-01-14,0.9901
2005-01-18,3.3333
2005-01-19,0.5693
2005-01-20,-0.7547
2005-01-21,1.2357
2005-01-24,-0.7042
2005-01-25,-3.2151
2005-01-26,0.8793
2005-01-27,0.9685
2005-01-28,0.9592
2005-01-31,-0.7126
2005-02-01,-0.2871
2005-02-02,0.144
2005-02-03,0.3354
2005-02-04,1.6237
2005-02-07,1.7387000000000001
2005-02-08,0.6928
2005-02-09,-1.2844
2005-02-10,1.6263999999999998
2005-02-11,0.3201
2005-02-14,1.1851
2005-02-15,-0.1802
2005-02-16,-0.4964
2005-02-17,-1.6327
2005-02-18,0.5071
2005-02-22,-1.8807
2005-02-23,0.0468
2005-02-24,1.2617
2005-02-25,2.1689
2005-02-28,0.4968
2005-03-01,0.6742
2005-03-02,-0.4464
2005-03-03,0.0448
2005-03-04,0.5827
2005-03-07,0.2228
2005-03-08,-2.2677
2005-03-09,-2.2293
2005-03-10,0.1861
2005-03-11,-0.9289
2005-03-14,2.5316
2005-03-15,-0.4115
