ticker,AKAOQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-03-12,19.1667
2014-03-13,14.2657
2014-03-14,-1.1016
2014-03-17,-0.8354
2014-03-18,6.5211
2014-03-19,6.6198
2014-03-20,2.4725
2014-03-21,0.8043
2014-03-24,0.7979
2014-03-25,-0.8971
2014-03-26,-0.6922
2014-03-27,-3.3244
2014-03-28,-7.5984
2014-03-31,-7.2029
2014-04-01,0.0
2014-04-02,3.1695
2014-04-03,-5.1411
2014-04-04,-6.4772
2014-04-07,-8.9046
2014-04-08,-2.8704
2014-04-09,1.8371
2014-04-10,-1.2549000000000001
2014-04-11,5.7188
2014-04-14,-0.0751
2014-04-15,-1.203
2014-04-16,-0.6849
2014-04-17,5.2874
2014-04-21,3.7118
2014-04-22,-2.2456
2014-04-23,-4.8816
2014-04-24,5.434
2014-04-25,-4.2233
2014-04-28,5.9791
2014-04-29,0.2116
2014-04-30,-1.3371
2014-05-01,1.2839
2014-05-02,-3.0986
2014-05-05,4.2151
2014-05-06,-9.2748
2014-05-07,-3.6126
2014-05-08,0.638
2014-05-09,-0.7132
2014-05-12,7.2626
2014-05-13,-0.8185
2014-05-14,-1.6503999999999999
2014-05-15,-1.4493
2014-05-16,2.9412000000000003
2014-05-19,-2.1053
2014-05-20,-4.3779
2014-05-21,0.0803
2014-05-22,2.0867
2014-05-23,5.9748
2014-05-27,-2.5964
2014-05-28,6.1691
2014-05-29,1.5782
2014-05-30,-0.9181
2014-06-02,-2.3521
2014-06-03,2.5547
2014-06-04,-1.0676
2014-06-05,2.6619
2014-06-06,-2.0322
2014-06-09,7.0815
2014-06-10,0.0668
2014-06-11,7.8772
2014-06-12,0.3094
2014-06-13,-0.1851
2014-06-16,-4.3263
2014-06-17,-2.0672
2014-06-18,-0.1319
2014-06-19,1.7173
2014-06-20,1.2987
2014-06-23,1.7308
2014-06-24,-3.2766
2014-06-25,0.9121
2014-06-26,-3.8735
2014-06-27,-5.0369
2014-06-30,-1.2730000000000001
2014-07-01,0.3582
2014-07-02,-0.6424
2014-07-03,-0.9339
2014-07-07,-3.5533
2014-07-08,-4.7368
2014-07-09,-0.2368
2014-07-10,-3.0854
2014-07-11,0.6531
2014-07-14,2.7575
2014-07-15,-3.7096
2014-07-16,-3.6885
2014-07-17,-5.9574
2014-07-18,4.4344
2014-07-21,-4.5061
2014-07-22,1.3612
2014-07-23,2.4172000000000002
2014-07-24,0.6993
2014-07-25,-3.6458
2014-07-28,-0.5405
2014-07-29,-1.5399
