ticker,SLCT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-12-26,0.0
2001-02-09,9.0909
2001-03-16,0.0
2001-05-21,1.0417
2001-05-23,0.0
2001-06-12,5.1546
2001-06-13,0.0
2001-06-14,-4.902
2001-06-19,-1.0309
2001-06-28,1.0417
2001-07-11,-1.0309
2001-09-07,1.0417
2001-09-10,0.0
2001-11-02,0.0
2001-11-26,0.0
2002-01-09,3.0928
2002-01-10,4.0
2002-01-28,0.0
2002-02-07,-3.8462
2002-03-11,4.0
2002-03-14,0.0
2002-03-18,-3.8462
2002-03-22,4.0
2002-04-03,-3.4615
2002-04-04,3.5857
2002-04-05,0.0
2002-04-25,7.6923
2002-05-02,-8.9286
2002-05-03,1.9607999999999999
2002-06-03,7.6923
2002-09-24,0.0
2002-09-26,0.0
2002-09-27,42.8571
2002-11-15,-15.0
2003-01-29,17.647100000000002
2003-04-17,-25.0
2003-04-23,0.0
2003-06-05,0.0
2003-07-15,30.0
2003-09-30,-1.2821
2003-10-07,-3.8961
2003-10-09,-3.5135
2003-10-17,-1.4006
2003-12-15,0.0
2003-12-16,6.25
2004-01-05,-5.8824
2004-01-07,3.125
2004-01-08,-3.0303
2004-01-09,-5.3125
2004-01-12,3.9604
2004-01-13,7.9365
2004-01-15,8.8235
2004-01-22,5.4054
2004-01-23,0.0
2004-01-27,-2.5641
2004-01-28,0.0
2004-01-29,0.0
2004-01-30,0.0
2004-02-11,2.6316
2004-02-13,-2.5641
2004-02-18,0.0
2004-02-24,0.0
2004-03-10,0.0
2004-03-11,1.3158
2004-03-12,-1.2987
2004-03-18,5.2632
2004-03-22,-3.75
2004-03-26,3.8961
2004-05-04,6.25
2004-05-07,-3.5294
2004-05-25,-7.3171
2004-06-01,10.526299999999999
2004-06-09,44.0476
2004-06-28,-20.9091
2004-07-08,14.9425
2004-07-19,-4.0
2004-07-20,4.1667
2004-07-22,-4.0
2004-07-26,-2.0833
2004-08-18,1.0638
2004-08-24,1.0526
2004-08-27,0.0
2004-09-01,0.0
2004-09-08,-4.1667
2004-09-09,3.2609
2004-09-10,-1.0526
2004-09-13,0.0
2004-09-14,0.3404
2004-09-16,0.7209
2004-09-22,1.0526
2004-09-23,-3.125
2004-10-06,2.1505
2004-10-08,0.0
2004-10-11,0.0
2004-10-25,9.0526
2004-11-08,-9.2664
2004-11-10,0.0
2004-11-12,-2.1277
2004-11-17,-3.2609
2004-12-03,-1.1236
2004-12-06,-3.4091
2004-12-07,1.1764999999999999
