ticker,RGIN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-02-11,117.8218
2010-08-18,2960.0
2010-08-19,1.0101
2010-08-20,0.0
2010-08-23,2.5
2010-08-24,-2.439
2010-08-25,0.0
2010-08-26,0.0
2010-08-27,0.0
2010-08-30,1.0
2010-08-31,23.7624
2010-09-01,-16.0
2010-09-02,2.3810000000000002
2010-09-03,2.3256
2010-09-07,-4.5455
2010-09-08,0.0
2010-09-09,0.0
2010-09-10,-1.4285999999999999
2010-09-13,-3.3816
2010-09-14,0.0
2010-09-15,0.0
2010-09-16,0.0
2010-09-17,0.0
2010-09-20,1.0
2010-09-21,-0.9901
2010-09-22,-2.5
2010-09-23,0.0
2010-09-24,-5.1282
2010-09-27,0.0
2010-09-28,0.0
2010-09-29,2.7027
2010-09-30,-1.5789
2010-10-01,-3.7433
2010-10-04,0.0
2010-10-05,-19.4444
2010-10-06,3.4483
2010-10-07,-9.3333
2010-10-08,0.0
2010-10-11,-30.147100000000002
2010-10-12,-10.526299999999999
2010-10-13,0.0
2010-10-14,-3.5294
2010-10-15,3.6585
2010-10-18,11.7647
2010-10-19,2.1053
2010-10-20,3.0928
2010-10-21,4.0
2010-10-22,0.0
2010-10-25,0.9615
2010-10-26,-14.2857
2010-10-27,0.0
2010-10-28,1.6667
2010-10-29,14.7541
2010-11-01,-8.5714
2010-11-02,-20.8333
2010-11-03,0.0
2010-11-04,11.8421
2010-11-05,2.3529
2010-11-08,-3.4483
2010-11-09,2.3810000000000002
2010-11-10,10.4651
2010-11-11,-10.526299999999999
2010-11-12,-17.647100000000002
2010-11-15,-28.5714
2010-11-16,-15.8
2010-11-17,14.0143
2010-11-18,4.1667
2010-11-19,0.0
2010-11-22,14.0
2010-11-23,12.2807
2010-11-24,1.5625
2010-11-26,-7.6923
2010-11-29,8.3333
2010-11-30,-15.3846
2010-12-01,-15.4545
2010-12-02,9.6774
2010-12-03,-1.9607999999999999
2010-12-06,-2.0
2010-12-07,-14.2857
2010-12-08,7.1429
2010-12-09,17.7778
2010-12-10,-9.434
2010-12-13,-6.25
2010-12-14,-2.2222
2010-12-15,47.7273
2010-12-16,15.3846
2010-12-17,-6.6667
2010-12-20,5.7143
2010-12-21,-5.4054
2010-12-22,-11.4286
2010-12-23,-3.1149
2010-12-27,0.0
2010-12-28,6.5446
2010-12-29,-15.625
2010-12-30,3.7037
2010-12-31,7.1429
2011-01-03,0.0
2011-01-04,8.3333
2011-01-05,0.0
2011-01-06,-1.5385
