ticker,HMLA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-03-23,0.0
2010-10-07,33.3333
2010-11-03,108.3333
2010-12-03,4.0
2011-03-09,11.538499999999999
2011-03-10,-13.7931
2011-03-11,0.0
2011-03-14,-4.0
2011-03-15,-8.3333
2011-03-16,9.0909
2011-03-17,0.0
2011-03-18,-8.3333
2011-03-21,59.5455
2011-03-22,-11.6809
2011-03-23,-19.3548
2011-03-24,-16.0
2011-03-25,16.6667
2011-03-28,6.5306
2011-03-29,-4.2146
2011-03-30,-20.0
2011-03-31,0.0
2011-04-01,5.0
2011-04-04,-4.7619
2011-04-05,-10.0
2011-04-06,8.3333
2011-04-07,2.5641
2011-04-08,-11.0
2011-04-11,1.1236
2011-04-12,0.0
2011-04-13,11.1111
2011-04-14,10.0
2011-04-15,22.7273
2011-04-18,7.4074
2011-04-19,-3.4483
2011-04-20,-7.1429
2011-04-21,0.0
2011-04-25,0.0
2011-04-26,1.9231
2011-04-27,1.8868
2011-04-28,-7.4074
2011-04-29,0.0
2011-05-02,4.0
2011-05-03,0.0
2011-05-04,-7.6923
2011-05-05,-3.75
2011-05-06,6.0606
2011-05-09,-5.7143
2011-05-10,9.0909
2011-05-11,1.1905000000000001
2011-05-12,-9.4118
2011-05-13,0.0
2011-05-16,0.0
2011-05-17,-4.7619
2011-05-18,0.0
2011-05-19,0.0
2011-05-20,2.2727
2011-05-23,-2.2222
2011-05-24,2.2727
2011-05-25,-2.2222
2011-05-26,0.0
2011-05-27,-4.5455
2011-05-31,4.7619
2011-06-01,-18.1818
2011-06-02,11.1111
2011-06-06,0.0
2011-06-07,-10.0
2011-06-08,-5.5556
2011-06-09,0.0
2011-06-13,-5.8824
2011-06-14,6.25
2011-06-15,58.8235
2011-06-16,-44.4444
2011-06-17,0.0
2011-06-20,13.3333
2011-06-21,17.7206
2011-06-22,-5.0593
2011-06-23,5.2632
2011-06-24,-10.0
2011-06-27,-5.5556
2011-06-28,0.0
2011-06-29,0.0
2011-06-30,0.0
2011-07-01,-5.8824
2011-07-05,0.0
2011-07-06,0.0
2011-07-07,-6.25
2011-07-08,10.0
2011-07-11,3.0303
2011-07-12,-5.8824
2011-07-13,37.5
2011-07-14,-45.2273
2011-07-15,74.2739
2011-07-18,-38.0952
2011-07-20,0.0
2011-07-21,23.0769
2011-07-22,25.0
2011-07-25,5.0
2011-07-28,-4.7619
2011-07-29,-30.0
2011-08-01,-14.2857
2011-08-02,0.0
2011-08-03,0.0
2011-08-04,16.6667
