ticker,MMSI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-3.4483
2000-01-04,-4.4643
2000-01-05,8.411200000000001
2000-01-06,-6.0345
2000-01-07,8.2569
2000-01-10,1.6949
2000-01-11,-2.5
2000-01-12,0.0
2000-01-13,-0.8547
2000-01-14,-2.5862
2000-01-18,6.1947
2000-01-19,6.6667
2000-01-20,-6.25
2000-01-21,3.3333
2000-01-24,-1.6129
2000-01-25,-1.6393
2000-01-26,3.3333
2000-01-27,-0.8065
2000-01-28,-5.6911000000000005
2000-01-31,1.7241
2000-02-01,0.0
2000-02-02,0.8475
2000-02-03,0.8403
2000-02-04,-2.5
2000-02-07,-0.8547
2000-02-08,3.4483
2000-02-09,-4.1667
2000-02-10,0.8696
2000-02-11,0.0
2000-02-14,0.0
2000-02-15,0.0
2000-02-16,3.4483
2000-02-17,0.8333
2000-02-18,-0.8264
2000-02-22,-3.3333
2000-02-23,1.7241
2000-02-24,1.6949
2000-02-25,1.6667
2000-02-28,4.5082
2000-02-29,0.3922
2000-03-01,-0.7813
2000-03-02,-2.3622
2000-03-03,-3.2258
2000-03-06,0.0
2000-03-07,15.8333
2000-03-08,5.7554
2000-03-09,2.7211
2000-03-10,5.298
2000-03-13,-1.8868
2000-03-14,-2.5641
2000-03-15,-3.2895
2000-03-16,-7.483
2000-03-17,9.5588
2000-03-20,-2.0134
2000-03-21,1.3699
2000-03-22,5.4054
2000-03-23,8.3333
2000-03-24,4.142
2000-03-27,-2.2727
2000-03-28,-4.6512
2000-03-29,3.6585
2000-03-30,-5.8824
2000-03-31,-1.25
2000-04-03,-3.7975
2000-04-04,-5.2632
2000-04-05,0.0
2000-04-06,7.6389
2000-04-07,4.5161
2000-04-10,-4.321
2000-04-11,-6.4516
2000-04-12,-6.2069
2000-04-13,-37.5
2000-04-14,-3.5294
2000-04-17,-3.6585
2000-04-18,1.2658
2000-04-19,-2.5
2000-04-20,-2.5641
2000-04-24,-1.3158
2000-04-25,-1.3333
2000-04-26,8.1081
2000-04-27,-7.5
2000-04-28,2.7027
2000-05-01,-3.9474
2000-05-02,4.1096
2000-05-03,-5.2632
2000-05-04,-1.3889
2000-05-05,0.0
2000-05-08,-1.4085
2000-05-09,-8.5714
2000-05-10,0.0
2000-05-11,0.0
2000-05-12,12.5
2000-05-15,8.3333
2000-05-16,2.5641
2000-05-17,-2.5
2000-05-18,2.5641
2000-05-19,0.0
2000-05-22,-2.5
2000-05-23,-7.6923
2000-05-24,0.0
