ticker,ECOM US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-05-23,31.7143
2013-05-24,1.3557000000000001
2013-05-28,-4.8689
2013-05-29,-4.3870000000000005
2013-05-30,0.4118
2013-05-31,-0.4101
2013-06-03,0.6471
2013-06-04,-0.526
2013-06-05,-1.9976
2013-06-06,-1.9184999999999999
2013-06-07,1.2225
2013-06-10,-0.3623
2013-06-11,-1.2727
2013-06-12,-2.8238
2013-06-13,-1.3266
2013-06-14,-1.0883
2013-06-17,2.4595000000000002
2013-06-18,0.5685
2013-06-19,-0.8794
2013-06-20,-1.7744
2013-06-21,-3.2258
2013-06-24,-3.8
2013-06-25,3.3957
2013-06-26,-1.2064
2013-06-27,3.9349
2013-06-28,2.6762
2013-07-01,3.1151
2013-07-02,-1.0481
2013-07-03,-0.1246
2013-07-05,-2.6201
2013-07-08,1.4094
2013-07-09,2.9059
2013-07-10,2.701
2013-07-11,3.7058999999999997
2013-07-12,1.7867
2013-07-15,0.6229
2013-07-16,-2.5324
2013-07-17,1.5011999999999999
2013-07-18,0.2844
2013-07-19,1.3613
2013-07-22,1.5669
2013-07-23,0.551
2013-07-24,1.4795
2013-07-25,4.9676
2013-07-26,1.3374
2013-07-29,-1.4213
2013-07-30,1.8023
2013-07-31,-0.6576
2013-08-01,-0.5601
2013-08-02,2.5602
2013-08-05,2.0969
2013-08-06,-3.0318
2013-08-07,0.1513
2013-08-08,19.7382
2013-08-09,5.1304
2013-08-12,12.16
2013-08-13,7.525
2013-08-14,-4.6103
2013-08-15,-3.8247999999999998
2013-08-16,9.1106
2013-08-19,-2.3526
2013-08-20,1.4929999999999999
2013-08-21,1.4042
2013-08-22,7.0887
2013-08-23,4.3719
2013-08-26,4.3068
2013-08-27,-6.8722
2013-08-28,0.0911
2013-08-29,-2.7002
2013-08-30,-4.5214
2013-09-03,1.2084
2013-09-04,1.6134
2013-09-05,-0.2858
2013-09-06,-2.1019
2013-09-09,6.4086
2013-09-10,2.7515
2013-09-11,4.1952
2013-09-12,-0.5711
2013-09-13,-0.4882
2013-09-16,-0.9524
2013-09-17,-1.049
2013-09-18,0.0294
2013-09-19,-1.5013
2013-09-20,-1.4644
2013-09-23,-0.273
2013-09-24,7.9988
2013-09-25,12.3346
2013-09-26,-6.5931
2013-09-27,-0.1074
2013-09-30,-1.5852
2013-10-01,1.911
2013-10-02,-0.6429
2013-10-03,-1.9412
2013-10-04,1.4572
2013-10-07,-2.0596
2013-10-08,-8.1074
2013-10-09,-0.5119
