ticker,EDNT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-05-03,17.4
2018-05-04,-2.5554
2018-05-07,1.8462
2018-05-08,-7.134
2018-05-09,16.451
2018-05-10,7.8444
2018-05-11,0.0854
2018-05-14,-2.2059
2018-05-15,1.8045
2018-05-16,-3.5451
2018-05-17,-0.1531
2018-05-18,7.2086
2018-05-21,1.2876
2018-05-22,9.4633
2018-05-23,2.5806
2018-05-24,-5.6604
2018-05-25,-2.2667
2018-05-29,-4.502
2018-05-30,-3.0
2018-05-31,2.5037000000000003
2018-06-01,2.0115
2018-06-04,-1.9944
2018-06-05,-1.4141
2018-06-06,-1.0204
2018-06-07,-0.5891
2018-06-08,0.963
2018-06-11,9.4644
2018-06-12,-3.6193
2018-06-13,3.6161
2018-06-14,-4.0268
2018-06-15,5.7343
2018-06-18,14.9471
2018-06-19,-7.5949
2018-06-20,3.2379
2018-06-21,1.3269
2018-06-22,11.9976
2018-06-25,-5.2914
2018-06-26,4.4893
2018-06-27,-10.0967
2018-06-28,-6.6906
2018-06-29,-0.5122
2018-07-02,2.574
2018-07-03,-1.0038
2018-07-05,-12.294
2018-07-06,-1.4451
2018-07-09,-2.9326
2018-07-10,-1.8127
2018-07-11,0.3692
2018-07-12,2.0846
2018-07-13,0.8874
2018-07-16,-5.4933
2018-07-17,2.2
2018-07-18,-2.9231
2018-07-19,1.5873
2018-07-20,3.5937
2018-07-23,-4.5249
2018-07-24,-5.2133
2018-07-25,-4.1667
2018-07-26,8.9757
2018-07-27,-5.0446
2018-07-30,-1.6806999999999999
2018-07-31,0.8547
2018-08-01,-3.2203
2018-08-02,1.5762
2018-08-03,1.2069
2018-08-06,-0.3407
2018-08-07,-2.3932
2018-08-08,2.4518
2018-08-09,-2.3932
2018-08-10,0.7005
2018-08-13,0.4904
2018-08-14,1.2409
2018-08-15,-6.836
2018-08-16,-3.6715999999999998
2018-08-17,-2.8552999999999997
2018-08-20,-0.9804
2018-08-21,5.3465
2018-08-22,7.1429
2018-08-23,-0.6228
2018-08-24,7.5046
2018-08-27,9.6952
2018-08-28,-4.0419
2018-08-29,2.9641
2018-08-30,-2.3636
2018-08-31,-0.0621
2018-09-04,4.8137
2018-09-05,-3.3896
2018-09-06,1.9750999999999999
2018-09-07,2.1053
2018-09-10,-4.271
2018-09-11,0.0
2018-09-12,3.3846
2018-09-13,6.7143
2018-09-14,-1.5506
2018-09-17,4.8159
2018-09-18,0.6757
2018-09-19,-2.0134
2018-09-20,2.3288
