ticker,UNFI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-1.0417
2000-01-04,-3.1579
2000-01-05,2.1739
2000-01-06,0.0
2000-01-07,2.6596
2000-01-10,0.0
2000-01-11,-0.5181
2000-01-12,0.5208
2000-01-13,0.5181
2000-01-14,3.0928
2000-01-18,8.0
2000-01-19,9.2593
2000-01-20,0.4237
2000-01-21,-4.6414
2000-01-24,-16.8142
2000-01-25,-4.2553
2000-01-26,-3.3333
2000-01-27,5.1724
2000-01-28,-4.3716
2000-01-31,-1.7143000000000002
2000-02-01,2.3256
2000-02-02,1.1364
2000-02-03,-1.1236
2000-02-04,0.0
2000-02-07,-1.1364
2000-02-08,0.8621
2000-02-09,-0.2849
2000-02-10,0.5714
2000-02-11,-0.5682
2000-02-14,0.5714
2000-02-15,-0.5682
2000-02-16,-1.1429
2000-02-17,9.8266
2000-02-18,-7.3684
2000-02-22,3.9773
2000-02-23,-6.0109
2000-02-24,-3.4884
2000-02-25,-3.6145
2000-02-28,4.375
2000-02-29,-1.1976
2000-03-01,-1.2121
2000-03-02,-0.6135
2000-03-03,7.4074
2000-03-06,-2.8736
2000-03-07,3.5503
2000-03-08,5.7143
2000-03-09,7.027
2000-03-10,3.0303
2000-03-13,-1.4706000000000001
2000-03-14,0.995
2000-03-15,9.3596
2000-03-16,0.2252
2000-03-17,0.2247
2000-03-20,4.0359
2000-03-21,-0.431
2000-03-22,3.4632
2000-03-23,0.8368
2000-03-24,-0.4149
2000-03-27,-2.5
2000-03-28,-5.1282
2000-03-29,5.8559
2000-03-30,0.0
2000-03-31,2.1277
2000-04-03,-1.6667
2000-04-04,-0.6356
2000-04-05,-1.0661
2000-04-06,1.7241
2000-04-07,4.2373
2000-04-10,-0.813
2000-04-11,1.2295
2000-04-12,-1.6194
2000-04-13,1.6461000000000001
2000-04-14,-2.834
2000-04-17,0.0
2000-04-18,-4.5833
2000-04-19,-2.6201
2000-04-20,2.2422
2000-04-24,5.7018
2000-04-25,0.4149
2000-04-26,-0.8264
2000-04-27,2.9167
2000-04-28,-2.0243
2000-05-01,2.4793
2000-05-02,-3.2258
2000-05-03,-0.8333
2000-05-04,0.0
2000-05-05,2.9412000000000003
2000-05-08,1.2245
2000-05-09,0.8065
2000-05-10,-0.4
2000-05-11,4.4177
2000-05-12,-1.9231
2000-05-15,-3.5294
2000-05-16,0.813
2000-05-17,-1.2097
2000-05-18,0.4082
2000-05-19,0.0
2000-05-22,2.0325
2000-05-23,-1.1952
