ticker,TRUP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-07-18,14.0
2014-07-21,1.7544
2014-07-22,-3.4483
2014-07-23,-0.3571
2014-07-24,-4.3907
2014-07-25,-1.4058
2014-07-28,-3.327
2014-07-29,1.2783
2014-07-30,-0.8738
2014-07-31,-2.0568
2014-08-01,-1.0
2014-08-04,1.3131
2014-08-05,-3.1904
2014-08-06,-0.206
2014-08-07,3.7152
2014-08-08,1.592
2014-08-11,-0.6856
2014-08-12,-3.3531
2014-08-13,-2.6531000000000002
2014-08-14,-0.1048
2014-08-15,-5.0367
2014-08-18,-4.3094
2014-08-19,-0.9238
2014-08-20,2.4476
2014-08-21,3.7542999999999997
2014-08-22,-0.2193
2014-08-25,0.7692
2014-08-26,-1.6358000000000001
2014-08-27,0.5543
2014-08-28,-2.0948
2014-08-29,0.7883
2014-09-02,-2.7933
2014-09-03,-1.6092
2014-09-04,-0.7009
2014-09-05,1.5293999999999999
2014-09-08,-0.6952
2014-09-09,-0.8168
2014-09-10,2.4706
2014-09-11,0.3444
2014-09-12,-2.4027
2014-09-15,0.5862
2014-09-16,-1.3986
2014-09-17,-0.1182
2014-09-18,-4.6154
2014-09-19,-2.6055
2014-09-22,-0.6369
2014-09-23,4.7436
2014-09-24,4.5288
2014-09-25,-2.9274
2014-09-26,5.4282
2014-09-29,-1.8307
2014-09-30,-0.9324
2014-10-01,-4.7059
2014-10-02,-0.2469
2014-10-03,-0.3713
2014-10-06,-4.9689
2014-10-07,-1.8300999999999998
2014-10-08,-1.0652
2014-10-09,-0.8075
2014-10-10,-7.8697
2014-10-13,0.8837
2014-10-14,0.7299
2014-10-15,-1.1594
2014-10-16,2.1994
2014-10-17,0.2869
2014-10-20,0.4292
2014-10-21,1.1396
2014-10-22,1.2676
2014-10-23,-4.0334
2014-10-24,2.1739
2014-10-27,0.5674
2014-10-28,1.2694
2014-10-29,-1.1142
2014-10-30,-1.2676
2014-10-31,-4.9929
2014-11-03,0.0
2014-11-04,-1.2012
2014-11-05,-1.0638
2014-11-06,3.6866
2014-11-07,-3.1111
2014-11-10,-2.9052
2014-11-11,-4.4094
2014-11-12,7.084
2014-11-13,3.0769
2014-11-14,-4.1791
2014-11-17,-1.8692
2014-11-18,0.1587
2014-11-19,-0.1585
2014-11-20,-0.9524
2014-11-21,0.4808
2014-11-24,-0.1595
2014-11-25,-0.9585
2014-11-26,-0.8065
2014-11-28,-1.3008
2014-12-01,-5.1071
2014-12-02,2.9514
2014-12-03,-0.3373
