ticker,EXTN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-11-02,0.0562
2015-11-03,1.0543
2015-11-04,-15.5495
2015-11-05,-9.499
2015-11-06,5.7513
2015-11-09,12.5765
2015-11-10,1.9324
2015-11-11,7.4645
2015-11-12,0.3859
2015-11-13,-5.7661
2015-11-16,1.3986
2015-11-17,-4.7701
2015-11-18,0.6035
2015-11-19,-2.3995
2015-11-20,-0.1229
2015-11-23,0.3692
2015-11-24,0.0613
2015-11-25,-1.8995
2015-11-27,0.1874
2015-11-30,2.0574
2015-12-01,0.4276
2015-12-02,-3.163
2015-12-03,2.9523
2015-12-04,0.7322
2015-12-07,-7.3895
2015-12-08,-1.1118
2015-12-09,0.8598
2015-12-10,-0.459
2015-12-11,-8.2345
2015-12-14,-3.2304
2015-12-15,2.5223
2015-12-16,5.1375
2015-12-17,-3.8541
2015-12-18,1.1453
2015-12-21,2.9724
2015-12-22,6.8041
2015-12-23,3.2175
2015-12-24,-1.5586
2015-12-28,-0.95
2015-12-29,2.2379
2015-12-30,0.1876
2015-12-31,0.1873
2016-01-04,2.243
2016-01-05,-0.2438
2016-01-06,-0.9163
2016-01-07,0.6782
2016-01-08,0.2449
2016-01-11,-6.8418
2016-01-12,-3.2787
2016-01-13,-4.6102
2016-01-14,7.3205
2016-01-15,-6.2252
2016-01-19,-2.1186
2016-01-20,-2.5974
2016-01-21,4.963
2016-01-22,6.9866
2016-01-25,-2.3747
2016-01-26,2.2297
2016-01-27,-0.5288
2016-01-28,0.598
2016-01-29,9.1149
2016-02-01,-6.2349
2016-02-02,-6.1975
2016-02-03,-0.2753
2016-02-04,2.6915
2016-02-05,-0.672
2016-02-08,0.8796
2016-02-09,-6.3716
2016-02-10,-0.6447
2016-02-11,-3.6048999999999998
2016-02-12,1.6455
2016-02-16,3.2377
2016-02-17,4.6329
2016-02-18,-0.6812
2016-02-19,-0.7545
2016-02-22,3.5244999999999997
2016-02-23,-3.5381
2016-02-24,0.2076
2016-02-25,-10.221
2016-02-26,1.6154
2016-02-29,3.2551
2016-03-01,4.5455
2016-03-02,4.7686
2016-03-03,4.4177
2016-03-04,-0.8974
2016-03-07,0.2587
2016-03-08,-1.6129
2016-03-09,4.918
2016-03-10,0.0625
2016-03-11,5.559
2016-03-14,-1.3609
2016-03-15,-4.3191
2016-03-16,0.4389
2016-03-17,3.3708
2016-03-18,-2.0531
2016-03-21,1.8496000000000001
2016-03-22,-0.1211
2016-03-23,-6.1818
2016-03-24,1.4858
