ticker,MFST US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-09-26,573.3333
2012-09-27,26.7327
2012-10-01,-17.9688
2012-10-03,33.3333
2012-10-05,0.0
2012-10-10,-17.8571
2012-10-15,4.3478
2012-10-17,-15.8333
2012-10-18,17.8218
2012-10-19,-15.1261
2012-10-22,-25.7426
2012-10-23,25.3333
2012-10-26,7.4468
2012-10-31,-50.495
2012-11-01,60.0
2012-11-05,25.0
2012-11-06,1.0
2012-11-09,0.0
2012-11-16,-0.9901
2012-11-19,-47.4688
2012-11-20,33.2302
2012-11-26,7.1441
2012-11-27,-20.0033
2012-11-29,-41.4878
2012-11-30,99.3946
2012-12-06,-9.9839
2012-12-10,-0.0198
2012-12-11,-3.1752
2012-12-12,-42.4472
2012-12-13,42.4501
2012-12-17,0.0
2012-12-18,-10.0
2012-12-19,4.4444
2012-12-24,-4.2553
2013-01-09,13.3056
2013-01-10,-7.8205
2013-01-23,8.484
2013-01-24,0.0
2013-01-25,0.0
2013-01-28,0.0
2013-01-29,-43.0988
2013-01-30,75.7432
2013-02-04,-43.0988
2013-02-05,75.7432
2013-02-07,0.0
2013-02-08,0.0
2013-02-11,0.0
2013-02-12,0.0
2013-02-15,-3.898
2013-02-22,2.0153
2013-03-05,-37.9845
2013-03-06,-3.2258
2013-03-07,-6.6667
2013-03-08,7.1429
2013-03-11,-8.6667
2013-03-12,13.1387
2013-03-13,-6.4516
2013-03-14,-3.4483
2013-03-15,0.0
2013-03-18,3.5714
2013-03-19,-24.1379
2013-03-20,-45.4545
2013-03-21,-33.3333
2013-03-22,75.0
2013-03-25,0.0
2013-03-26,-28.5714
2013-03-27,40.0
2013-03-28,-28.5714
2013-04-01,20.0
2013-04-02,-33.3333
2013-04-03,0.0
2013-04-04,0.0
2013-04-05,0.0
2013-04-08,-12.5
2013-04-09,-5.7143
2013-04-10,21.2121
2013-04-11,-12.5
2013-04-12,28.5714
2013-04-15,0.0
2013-04-16,-22.2222
2013-04-17,-21.4286
2013-04-18,-9.0909
2013-04-19,10.0
2013-04-22,-27.2727
2013-04-23,2.5
2013-04-24,0.0
2013-04-25,46.3415
2013-04-26,-33.3333
2013-04-29,25.0
2013-04-30,-10.0
2013-05-01,0.0
2013-05-02,0.0
2013-05-03,-2.2222
2013-05-06,-3.6932
2013-05-07,-5.3097
2013-05-08,2.1807
2013-05-10,34.1463
2013-05-13,-9.0909
2013-05-14,-16.0
2013-05-15,7.1429
2013-05-16,-4.7222
2013-05-17,-18.3673
