ticker,AMHCU US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-11-20,0.0
2019-11-21,-0.1
2019-11-22,0.0
2019-11-25,-0.2002
2019-11-26,0.2006
2019-11-29,0.0521
2019-12-02,-0.1521
2019-12-03,-0.1002
2019-12-04,0.1003
2019-12-05,0.0
2019-12-06,0.1002
2019-12-09,0.1001
2019-12-10,0.2
2019-12-11,0.0
2019-12-12,-0.0998
2019-12-13,0.0999
2019-12-16,0.1996
2019-12-17,0.0
2019-12-18,0.0996
2019-12-19,0.0
2019-12-20,0.199
2019-12-23,-0.2056
2019-12-27,0.2438
2019-12-30,-0.0377
2020-01-03,0.7944
2020-01-06,-0.3941
2020-01-07,0.3956
2020-01-08,-0.0975
2020-01-09,0.3935
2020-01-10,0.6876
2020-01-13,0.0
2020-01-14,0.2439
2020-01-17,1.6058
2020-01-21,-0.3851
2020-01-22,-0.4789
2020-01-23,0.0
2020-01-24,0.0
2020-01-29,-0.3865
2020-02-12,-0.582
2020-02-13,0.0
2020-02-14,-0.4878
2020-02-18,0.0235
2020-02-19,0.0745
2020-02-20,0.0
2020-02-25,0.8815
2020-02-28,0.9709
2020-03-02,-0.4808
2020-03-04,-0.4831
2020-03-18,-5.3398
2020-03-19,-0.5128
2020-03-20,0.0
2020-03-24,-2.0619
2020-04-06,3.1579
2020-04-23,-1.5377999999999998
2020-04-28,3.5308
2020-04-29,-0.5355
2020-05-07,0.6994
2020-05-13,-0.3598
2020-05-15,0.0
2020-05-26,-0.2006
2020-05-27,0.603
2020-05-28,0.0
2020-06-10,-0.0999
2020-06-17,0.0
2020-06-23,2.0
2020-07-13,1.5196
2020-07-22,-1.9797
2020-07-27,3.4483
2020-07-29,0.9333
2020-07-30,-0.1698
2020-07-31,-1.4178
