ticker,OPTT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-04-25,-10.8
2007-04-26,-6.5022
2007-04-27,-6.7745999999999995
2007-04-30,-7.7814
2007-05-01,-0.2789
2007-05-02,11.3287
2007-05-03,6.6583
2007-05-04,2.1319
2007-05-07,2.0644
2007-05-08,-0.8475
2007-05-09,-1.7094
2007-05-10,0.0
2007-05-11,-0.3478
2007-05-14,3.1995
2007-05-15,0.6201
2007-05-16,-3.1933
2007-05-17,-1.794
2007-05-18,-1.2964
2007-05-21,-1.0149
2007-05-22,-0.4825
2007-05-23,-0.6061
2007-05-24,-4.2683
2007-05-25,2.8662
2007-05-29,-2.8483
2007-05-30,-2.8043
2007-05-31,-2.7541
2007-06-01,2.3601
2007-06-04,0.8564
2007-06-05,0.3266
2007-06-06,-4.5573
2007-06-07,3.7517
2007-06-08,0.1972
2007-06-11,-1.2467
2007-06-12,0.4651
2007-06-13,3.4392
2007-06-14,1.7263
2007-06-15,1.2570999999999999
2007-06-18,-2.1105
2007-06-19,4.1218
2007-06-20,0.1218
2007-06-21,1.2165
2007-06-22,-4.7476
2007-06-25,-4.4795
2007-06-26,-0.5284
2007-06-27,0.2656
2007-06-28,0.6623
2007-06-29,4.1513
2007-07-02,-2.6593
2007-07-03,-1.0383
2007-07-05,-0.8525
2007-07-06,-0.1323
2007-07-09,0.6623
2007-07-10,-1.5131999999999999
2007-07-11,4.4756
2007-07-12,3.7084
2007-07-13,-2.5894
2007-07-16,0.7595
2007-07-17,1.1307
2007-07-18,-0.6211
2007-07-19,5.6875
2007-07-20,-2.0106
2007-07-23,-3.3796
2007-07-24,-4.1224
2007-07-25,-2.5407
2007-07-26,-7.2861
2007-07-27,0.1442
2007-07-30,4.6076
2007-07-31,1.5141
2007-08-01,-7.1186
2007-08-02,-1.0949
2007-08-03,-1.4022000000000001
2007-08-06,-12.1257
2007-08-07,6.3884
2007-08-08,-0.1601
2007-08-09,-0.1604
2007-08-10,-0.7309
2007-08-13,-0.0728
2007-08-14,0.3239
2007-08-15,-1.3235999999999999
2007-08-16,3.0591
2007-08-17,-2.9365
2007-08-20,-2.6983
2007-08-21,3.9496
2007-08-22,1.1318
2007-08-23,-1.6787
2007-08-24,0.0813
2007-08-27,1.2185
2007-08-28,-0.321
2007-08-29,-0.5636
2007-08-30,1.2146
2007-08-31,0.0
2007-09-04,0.64
2007-09-05,-0.2385
2007-09-06,0.9562
2007-09-07,-1.1839
2007-09-10,-4.5607
2007-09-11,4.695
