ticker,TICJ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-12-28,-97.7477
2005-01-18,0.0
2005-02-04,0.0
2005-02-16,0.0
2005-02-22,0.0
2005-03-03,16.0
2005-03-07,-37.931
2005-03-09,11.1111
2005-03-11,10.0
2005-03-17,-68.1818
2005-03-30,0.0
2005-04-19,-71.4286
2005-05-05,-50.0
2005-05-10,0.0
2005-08-04,800.0
2005-08-05,0.0
2005-08-08,-44.4444
2005-08-09,-40.0
2005-08-23,566.6667
2005-08-24,-10.0
2005-08-25,-16.6667
2005-09-07,-66.6667
2005-09-15,0.0
2005-09-19,0.0
2005-09-20,300.0
2005-10-07,-80.0
2005-11-11,400.0
2005-11-14,75.0
2005-11-15,-14.2857
2005-11-16,16.6667
2005-11-17,-2.8571
2005-11-18,-2.2059
2005-11-21,35.3383
2005-11-22,22.2222
2005-11-23,0.0
2005-11-28,-9.0909
2005-11-29,0.0
2005-11-30,10.0
2005-12-01,-18.1818
2005-12-02,26.6667
2005-12-05,5.2632
2005-12-06,0.0
2005-12-07,-8.3333
2005-12-08,5.4545
2005-12-09,-13.7931
2005-12-12,4.0
2005-12-13,-3.8462
2005-12-14,0.0
2005-12-15,-8.0
2005-12-16,4.3478
2005-12-19,-16.6667
2005-12-20,0.0
2005-12-21,-25.0
2005-12-22,0.0
2005-12-23,33.3333
2005-12-27,-95.75
2005-12-28,2547.0588
2005-12-29,-82.2222
2005-12-30,337.5
2006-01-03,0.0
2006-01-04,0.0
2006-01-09,0.0
2006-01-17,-20.0
2006-01-19,3.5714
2006-01-23,-48.2759
2006-01-24,-20.0
2006-01-25,0.0
2006-01-27,0.0
2006-01-30,150.0
2006-02-02,-63.3333
2006-02-16,0.0
2006-02-17,0.0
2006-02-24,-9.0909
2006-02-27,-50.0
2006-03-01,0.0
2006-03-03,0.0
2006-03-07,100.0
2006-03-08,17.5
2006-03-09,27.6596
2006-03-10,-40.0
2006-03-13,0.0
2006-03-14,0.0
2006-03-16,0.0
2006-03-22,55.5556
2006-03-23,-32.1429
2006-03-24,-15.7895
2006-03-27,28.125
2006-03-28,26.8293
2006-03-29,0.0
2006-03-31,-7.6923
2006-04-04,-16.6667
2006-04-05,60.0
2006-04-06,100.0
2006-04-07,3.125
2006-04-10,0.0
2006-04-11,-42.4242
2006-04-12,31.5789
2006-04-13,-24.0
2006-04-17,5.2632
2006-04-18,-5.0
2006-04-19,5.2632
2006-04-20,0.0
2006-04-21,-15.0
2006-04-24,-11.7647
2006-04-25,0.0
