ticker,QTMM US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-04-25,1150.0
2008-04-28,100.0
2008-05-01,150.0
2008-05-02,20.0
2008-05-06,-83.3333
2008-05-07,400.0
2008-05-08,-72.0
2008-05-09,214.2857
2008-05-14,-68.1818
2008-06-10,185.7143
2008-10-02,-10.0
2008-10-06,-38.8889
2008-10-10,69.0909
2008-10-13,7.5269
2008-10-23,-4.0
2008-10-24,56.25
2008-10-27,-66.0
2008-10-28,37.2549
2008-10-29,0.0
2008-10-30,0.0
2008-10-31,-1.4285999999999999
2008-11-11,-26.087
2008-11-12,17.647100000000002
2008-11-13,0.0
2008-11-14,-16.6667
2008-11-17,0.0
2008-11-19,0.0
2008-11-20,-2.0
2008-11-21,2.0408
2008-11-24,-2.0
2008-11-25,-28.5714
2008-11-26,14.2857
2008-11-28,-12.5
2008-12-01,42.8571
2008-12-02,-20.0
2008-12-05,12.5
2008-12-08,-4.4444
2008-12-09,2.3256
2008-12-10,-13.6364
2008-12-11,5.2632
2008-12-12,-5.0
2008-12-15,-2.6316
2008-12-16,-8.1081
2008-12-17,2.9044
2008-12-18,0.0
2008-12-19,0.0357
2008-12-22,-20.0
2008-12-23,25.0
2008-12-24,0.0
2008-12-26,-14.2857
2008-12-29,-16.6667
2008-12-30,0.0
2008-12-31,60.0
2009-01-02,-37.5
2009-01-05,20.0
2009-01-06,-23.3333
2009-01-07,-13.0435
2009-01-08,5.0
2009-01-09,9.5238
2009-01-12,-8.6957
2009-01-13,-23.8095
2009-01-14,18.75
2009-01-15,-10.526299999999999
2009-01-20,-11.7647
2009-01-21,-20.0
2009-01-22,8.3333
2009-01-23,0.0
2009-01-26,15.3846
2009-01-27,-13.3333
2009-01-28,-15.3846
2009-01-29,-4.5455
2009-01-30,8.5714
2009-02-02,20.614
2009-02-03,23.6364
2009-02-04,-11.7647
2009-02-05,-10.0
2009-02-06,-18.5185
2009-02-09,4.5455
2009-02-10,-8.6957
2009-02-11,4.7619
2009-02-12,0.0
2009-02-13,4.5455
2009-02-17,0.0
2009-02-18,-16.5217
2009-02-19,3.125
2009-02-20,-19.1919
2009-02-23,3.125
2009-02-24,21.2121
2009-02-25,0.0
2009-02-26,-4.0
2009-02-27,-16.6667
2009-03-02,12.5
2009-03-03,0.0
2009-03-04,-8.3333
2009-03-05,-27.2727
2009-03-06,-8.3333
2009-03-09,9.0909
2009-03-10,-4.1667
2009-03-11,-4.3478
2009-03-12,-9.0909
2009-03-13,50.0
2009-03-16,-20.0
