ticker,GCHK US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-06-19,102.0408
2008-06-20,-39.3939
2008-06-23,-15.0
2008-06-24,-1.9607999999999999
2008-06-25,0.0
2008-06-26,7.0
2008-06-27,28.972
2008-06-30,1.4493
2008-07-01,2.8571
2008-07-07,0.0
2008-07-08,-2.7778
2008-07-10,4.2857
2008-07-16,0.0
2008-07-17,-1.3699
2008-07-21,0.0
2008-07-22,2.7778
2008-07-28,0.0
2008-08-05,-5.4054
2008-08-18,2.8571
2008-08-19,2.7778
2008-08-20,0.0
2008-08-21,1.3514
2008-08-22,1.3333
2008-08-25,6.5789
2008-08-26,-1.2346
2008-08-27,3.75
2008-08-28,0.0
2008-08-29,0.0
2008-09-02,-1.2048
2008-09-03,0.061
2008-09-04,1.1578
2008-09-05,-1.2048
2008-09-08,1.2195
2008-09-09,-1.2048
2008-09-10,2.439
2008-09-11,0.0
2008-09-12,0.0
2008-09-15,-1.1905000000000001
2008-09-16,-3.6145
2008-09-17,-1.25
2008-09-18,0.0
2008-09-19,1.2658
2008-09-22,0.0
2008-09-23,-5.0
2008-09-24,38.1579
2008-09-25,1.9048
2008-09-26,0.0
2008-09-29,-5.6075
2008-09-30,-0.9901
2008-10-01,-6.0
2008-10-02,1.0638
2008-10-03,-5.2632
2008-10-06,-15.5556
2008-10-07,5.2632
2008-10-08,0.0
2008-10-09,0.0
2008-10-10,0.0
2008-10-13,6.25
2008-10-14,-7.0588
2008-10-15,-8.8608
2008-10-16,9.7222
2008-10-17,0.0
2008-10-20,-5.0633
2008-10-21,6.6667
2008-10-22,0.0
2008-10-23,-1.25
2008-10-24,-7.5949
2008-10-27,-5.4795
2008-10-28,-13.0435
2008-10-29,-8.3333
2008-10-30,30.9091
2008-10-31,-8.3333
2008-11-03,9.0909
2008-11-04,-2.7778
2008-11-05,-5.7143
2008-11-06,0.0
2008-11-07,-18.1818
2008-11-10,7.4074
2008-11-11,20.6897
2008-11-12,-7.1429
2008-11-13,7.6923
2008-11-14,0.0
2008-11-17,-15.7143
2008-11-18,-11.8644
2008-11-19,21.1538
2008-11-20,1.5873
2008-11-21,9.375
2008-11-24,0.0
2008-11-25,-8.5714
2008-11-26,-3.125
2008-11-28,0.0
2008-12-01,-6.4516
2008-12-02,10.3448
2008-12-03,-6.25
2008-12-04,-3.3333
2008-12-05,0.0
2008-12-08,-10.3448
2008-12-09,3.8462
2008-12-11,9.2593
2008-12-12,1.6949
2008-12-15,-15.0
2008-12-16,-0.9804
