ticker,BIDU US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-08-05,353.8519
2005-08-08,-5.7451
2005-08-09,-16.7965
2005-08-10,-4.5265
2005-08-11,6.703
2005-08-12,-2.9622
2005-08-15,-2.1053
2005-08-16,-1.6021999999999998
2005-08-17,-6.2288
2005-08-18,-3.8807
2005-08-19,-3.5524
2005-08-22,-8.6235
2005-08-23,12.8078
2005-08-24,-5.122
2005-08-25,1.5424
2005-08-26,-0.1519
2005-08-29,-0.355
2005-08-30,3.0534
2005-08-31,0.0
2005-09-01,-2.5679
2005-09-02,-1.1404
2005-09-06,-0.282
2005-09-07,6.144
2005-09-08,1.1625
2005-09-09,15.2741
2005-09-12,16.5628
2005-09-13,1.1938
2005-09-14,-28.4092
2005-09-15,0.8362
2005-09-16,-4.4512
2005-09-19,1.5061
2005-09-20,1.2197
2005-09-21,-0.2484
2005-09-22,-1.3822999999999999
2005-09-23,-0.0505
2005-09-26,-2.3626
2005-09-27,-6.1853
2005-09-28,-9.3655
2005-09-29,-1.0805
2005-09-30,-1.5077
2005-10-03,3.2646
2005-10-04,6.4741
2005-10-05,-2.9692
2005-10-06,-0.0586
2005-10-07,-1.5529
2005-10-10,-2.6042
2005-10-11,-0.3056
2005-10-12,-2.5286999999999997
2005-10-13,-2.1698
2005-10-14,8.1164
2005-10-17,-0.996
2005-10-18,1.1562000000000001
2005-10-19,-2.3304
2005-10-20,0.304
2005-10-21,6.0606
2005-10-24,15.7
2005-10-25,-1.457
2005-10-26,1.5537
2005-10-27,-13.2017
2005-10-28,-3.2125
2005-10-31,1.9827
2005-11-01,-1.0657
2005-11-02,-0.2911
2005-11-03,-0.365
2005-11-04,0.0733
2005-11-07,6.2958
2005-11-08,-1.1157
2005-11-09,-2.5073
2005-11-10,0.6287
2005-11-11,-0.5381
2005-11-14,-0.0728
2005-11-15,-1.6857
2005-11-16,0.9881
2005-11-17,5.295
2005-11-18,-3.0883
2005-11-21,0.9587
2005-11-22,4.3577
2005-11-23,7.7222
2005-11-25,4.075
2005-11-28,-6.3388
2005-11-29,-2.6383
2005-11-30,2.0814
2005-12-01,2.2313
2005-12-02,-1.0286
2005-12-05,-1.142
2005-12-06,0.2321
2005-12-07,-0.6395
2005-12-08,-0.5922
2005-12-09,-1.7871000000000001
2005-12-12,0.0396
2005-12-13,-2.2275
2005-12-14,-6.4437999999999995
2005-12-15,-0.7925
2005-12-16,-4.5606
2005-12-19,1.2631000000000001
2005-12-20,-2.2242
2005-12-21,-0.8761
