ticker,SKDI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-03-13,0.0
2000-04-07,0.0
2000-06-02,0.0
2000-06-14,0.0
2000-07-13,0.0
2000-09-08,0.0
2001-07-18,-87.5
2001-12-12,0.0
2002-06-04,0.0
2002-11-07,0.0
2002-12-10,0.0
2002-12-11,0.0
2003-02-05,0.0
2003-06-12,0.0
2003-11-11,0.0
2004-03-31,0.0
2005-03-24,0.0
2005-04-27,0.0
2006-02-28,0.0
2006-05-30,7900.0
2006-06-22,0.0
2006-12-29,-75.0
2007-01-12,700.0
2007-11-14,-99.5
2007-12-11,10000.0
2008-01-22,-15.8416
2008-08-06,-88.2353
2009-03-09,50.0
2009-04-27,733.3333
2009-05-05,-88.0
2009-06-24,566.6667
2009-06-30,-84.0
2009-07-15,6.25
2009-07-21,0.0
2009-09-02,182.3529
2009-09-03,6.25
2009-09-08,98.0392
2009-09-09,13.8614
2009-09-10,0.0
2009-09-14,0.0
2009-09-16,-54.7826
2009-09-21,19.2308
2009-09-23,0.0
2009-09-30,-16.129
2009-10-06,15.3846
2009-10-16,-46.6667
2009-11-17,-39.0625
2009-11-18,-69.2308
2009-11-19,-16.6667
2009-11-20,-20.0
2009-11-24,25.0
2009-11-25,-20.0
2009-11-27,-12.5
2009-12-03,0.0
2009-12-04,-17.1429
2009-12-07,3.4483
2009-12-08,0.0
2009-12-09,0.0
2009-12-15,-33.3333
2009-12-17,-24.375
2009-12-18,-14.0496
2009-12-23,15.3846
2009-12-28,0.0
2009-12-29,-6.6667
2009-12-30,0.0
2009-12-31,-21.4286
2010-01-05,-1.1364
2010-01-07,-8.046
2010-01-08,0.0
2010-01-14,0.0
2010-01-15,0.0
2010-01-19,0.0
2010-01-20,0.0
2010-02-05,50.0
2010-02-08,33.3333
2010-02-10,0.0
2010-03-02,0.0
2010-03-09,0.0
2010-03-12,0.0
2010-03-30,0.0
2010-04-07,0.0
2010-04-15,0.0
2010-04-22,0.0
2010-05-10,50.0
2010-05-13,0.0
2010-05-26,0.0
2010-06-03,-16.6667
2010-06-28,0.0
2010-07-14,-20.0
2010-07-29,-50.0
2010-08-11,70.0
2010-08-12,0.0
2010-08-17,-41.1765
2010-08-24,0.0
2010-08-25,-38.75
2010-09-07,471.4286
2010-09-24,0.0
2010-09-27,0.0
2010-09-30,-2.8571
2010-10-07,-80.8824
2010-11-09,7.6923
2010-12-17,1.7856999999999998
2010-12-30,0.0
2011-01-04,531.5789
2011-01-05,-53.3333
2011-01-06,9.5238
