ticker,REKR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-08-31,-16.6667
2017-09-01,-20.8
2017-09-05,-74.2424
2017-09-06,292.1569
2017-09-07,-2.5
2017-09-11,-48.7179
2017-09-12,84.0
2017-09-13,-31.5217
2017-09-14,46.8254
2017-09-18,-2.7027
2017-09-22,0.0
2017-09-25,1.1111
2017-09-26,9.8901
2017-09-27,-10.0
2017-09-29,5.8333
2017-10-02,-20.7349
2017-10-03,80.7947
2017-10-04,-15.7509
2017-10-05,-9.5652
2017-10-06,5.7692
2017-10-09,45.4545
2017-10-10,-11.5625
2017-10-11,-11.6608
2017-10-12,18.0
2017-10-13,32.2034
2017-10-16,8.9744
2017-10-17,17.8824
2017-10-18,-0.1996
2017-10-19,10.0
2017-10-20,0.0
2017-10-23,-9.0909
2017-10-24,0.0
2017-10-25,-2.2
2017-10-26,0.0
2017-10-27,-1.6360000000000001
2017-10-30,3.9501
2017-10-31,-20.0
2017-11-01,25.0
2017-11-02,-3.0
2017-11-03,3.0928
2017-11-06,-10.0
2017-11-07,-11.3333
2017-11-08,-14.787
2017-11-09,11.9412
2017-11-10,-4.0988
2017-11-13,-0.274
2017-11-14,0.2747
2017-11-15,-1.3699
2017-11-20,-2.7778
2017-11-21,0.0
2017-11-22,0.0
2017-11-27,-0.2857
2017-11-28,0.2865
2017-11-29,-2.8571
2017-11-30,-2.9412000000000003
2017-12-01,6.0606
2017-12-04,30.0
2017-12-05,-1.0989
2017-12-06,6.6667
2017-12-07,-1.25
2017-12-08,-11.3924
2017-12-11,14.2857
2017-12-12,-2.0833
2017-12-14,0.0
2017-12-15,-18.9362
2017-12-18,24.9344
2017-12-19,-5.4622
2017-12-20,2.2222
2017-12-21,-2.3913
2017-12-22,3.3407999999999998
2017-12-26,-1.0776
2017-12-27,3.268
2017-12-28,0.211
2017-12-29,3.1579
2018-01-02,-3.0612
2018-01-04,-3.1579
2018-01-05,1.087
2018-01-08,-3.2258
2018-01-09,3.3333
2018-01-10,-2.7419000000000002
2018-01-11,1.7137
2018-01-12,-4.3478
2018-01-16,-1.375
2018-01-18,-1.6016
2018-01-19,4.2155
2018-01-22,-0.2247
2018-01-24,-10.8108
2018-01-25,11.1111
2018-01-26,-6.8182
2018-01-29,-8.5341
2018-01-30,-0.536
2018-01-31,0.5362
2018-02-01,3.2
2018-02-02,1.292
2018-02-05,1.7856999999999998
2018-02-06,0.2481
2018-02-07,-0.06
2018-02-08,-11.1945
2018-02-13,-1.4085
