ticker,ITCC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-12-14,0.0
2005-12-15,1.8519
2005-12-16,3.2727
2005-12-19,5.6338
2005-12-20,-8.3333
2005-12-21,5.4545
2005-12-22,3.4483
2005-12-23,8.3333
2005-12-27,-12.3077
2005-12-28,-10.526299999999999
2005-12-29,0.0
2005-12-30,1.9607999999999999
2006-01-03,0.0
2006-01-04,-1.9231
2006-01-05,0.0
2006-01-06,7.8431
2006-01-09,-3.6364
2006-01-10,-9.434
2006-01-12,12.5
2006-01-13,11.1111
2006-01-17,-6.6667
2006-01-18,0.3571
2006-01-19,-0.3559
2006-01-20,1.7856999999999998
2006-01-23,3.5088
2006-01-24,-8.4746
2006-01-25,-7.4074
2006-01-26,10.0
2006-01-27,-16.3636
2006-01-30,4.3478
2006-01-31,1.6667
2006-02-01,-1.6393
2006-02-02,2.0833
2006-02-03,-2.0408
2006-02-06,0.8333
2006-02-07,-0.8264
2006-02-08,4.1667
2006-02-09,0.0
2006-02-10,-4.0
2006-02-13,-2.0833
2006-02-14,0.0
2006-02-15,-2.1277
2006-02-16,7.3913
2006-02-17,7.2874
2006-02-21,-7.5472
2006-02-22,4.0816
2006-02-23,-3.9215999999999998
2006-02-24,6.1224
2006-02-27,-7.6923
2006-02-28,0.0
2006-03-01,0.0
2006-03-02,8.3333
2006-03-03,-5.7692
2006-03-06,2.0408
2006-03-07,4.0
2006-03-08,0.7692
2006-03-09,-0.7634
2006-03-10,7.6923
2006-03-13,-1.7856999999999998
2006-03-14,5.4545
2006-03-15,6.8966
2006-03-16,0.0
2006-03-17,-3.2258
2006-03-20,-1.6667
2006-03-21,5.0847
2006-03-22,5.8065
2006-03-23,-0.9146
2006-03-24,-1.5385
2006-03-27,0.9375
2006-03-28,-5.5728
2006-03-29,11.4754
2006-03-30,-5.8824
2006-03-31,15.0
2006-04-03,-4.8913
2006-04-04,-4.2857
2006-04-05,2.9851
2006-04-06,-1.1594
2006-04-07,-6.7449
2006-04-10,-2.5157
2006-04-11,-2.5806
2006-04-12,0.9934
2006-04-13,-1.6393
2006-04-17,0.3333
2006-04-19,-0.3322
2006-04-20,6.6667
2006-04-21,-6.25
2006-04-24,6.6667
2006-04-25,-1.5625
2006-04-26,9.5238
2006-04-27,4.3478
2006-04-28,0.0
2006-05-01,1.1111
2006-05-02,-3.8462
2006-05-03,-7.1429
2006-05-04,-0.9231
2006-05-05,4.0373
2006-05-08,-0.597
2006-05-09,1.2012
2006-05-10,0.0
