ticker,TLCC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-05-08,4.5455
2015-05-11,4.3478
2015-05-13,2.5
2015-05-18,8.1301
2015-05-20,0.0
2015-05-21,0.7519
2015-05-22,8.209
2015-05-26,3.4483
2015-05-27,0.0
2015-06-01,0.0
2015-06-05,0.0
2015-06-08,0.0
2015-06-09,0.0
2015-06-16,-16.6667
2015-06-24,19.2
2015-07-06,-2.6846
2015-07-07,3.4483
2015-07-20,-23.3333
2015-07-24,39.1304
2015-08-21,0.0
2015-09-24,6.25
2015-10-06,0.0
2015-10-07,0.0
2015-10-14,0.0
2015-10-15,0.0
2015-11-02,0.0
2015-11-17,-5.8824
2015-11-18,0.0
2015-12-31,8.75
2016-01-07,-14.3678
2016-01-08,0.6711
2016-01-27,-33.3333
2016-01-28,24.0
2016-02-10,-18.5484
2016-02-11,0.0
2016-02-12,0.0
2016-02-16,13.8614
2016-02-29,-1.7391
2016-03-04,-2.6549
2016-03-21,5.4545
2016-06-02,-6.0345
2016-06-06,0.0
2016-08-01,-6.422
2016-08-09,-11.7647
2016-08-19,-81.1111
2016-08-24,400.0
2016-09-14,-80.0
2016-09-15,29.4118
2016-10-12,359.0909
2016-10-20,-5.9406
2016-10-21,-10.526299999999999
2016-12-01,0.0
2016-12-07,11.7647
2016-12-16,-25.2632
2016-12-20,2.8169
2016-12-29,-19.1781
2016-12-30,1.6949
2017-01-11,-3.3333
2017-01-17,37.9095
2017-02-08,-4.1256
2017-02-09,19.9674
2017-03-07,-27.1739
2017-04-06,0.0
2017-05-25,4.4776
2017-06-05,31.4286
2017-06-23,-23.913
2017-07-18,0.0
2017-08-03,7.1429
2017-08-09,0.0
2017-11-03,-12.0
2017-12-19,-7.5758
2018-01-23,-26.2295
2018-05-01,80.0
2018-05-15,-18.5185
2018-06-25,-13.6364
2018-06-27,5.2632
2018-07-06,26.6667
2018-07-09,0.0
2018-07-10,3.9474
2018-07-11,0.0
2018-07-12,-24.0506
2018-07-17,0.0
2018-07-20,-1.6667
2018-07-24,44.0678
2018-07-25,0.0
2018-07-27,0.0
2018-07-30,0.0
2018-08-03,-15.2941
2018-08-07,0.0
2018-08-08,-6.9444
2018-08-14,7.4627
2018-08-15,4.1667
2018-08-16,0.0
2018-08-17,-5.3333
2018-08-21,5.6338
2018-08-22,0.0
2018-10-31,12.0
2018-11-05,4.7619
2018-11-06,1.1364
2018-11-09,-1.1236
2018-11-30,1.1364
2018-12-18,-21.3483
2018-12-31,-28.5857
2019-01-08,-9.982
2019-01-10,51.1111
2019-01-14,-11.7647
2019-01-30,13.3333
2019-01-31,-11.7647
2019-02-01,0.0
2019-03-13,13.3333
2019-03-29,-7.3529
2019-04-09,-4.7619
2019-04-23,-5.0
2019-04-25,-3.5088
2019-04-26,0.0
2019-04-29,-7.2727
2019-05-02,0.0
2019-05-22,-1.9607999999999999
2019-06-26,40.0
2019-07-03,-47.1429
2019-07-23,0.0
2019-08-07,-5.4054
2019-08-12,-28.5714
2019-08-13,4.0
2019-09-10,93.9481
2019-09-23,-0.8458
2019-09-24,-50.96
2019-10-18,-29.9755
2019-11-04,-12.6383
2019-11-07,-19.8
2019-11-11,-29.9252
2019-11-13,-29.8932
2019-11-29,1.5228000000000002
2020-01-23,66.6667
2020-02-12,245.2
2020-02-13,-7.3001
2020-02-20,25.0
2020-02-25,25.0
2020-02-26,-5.0
2020-02-28,-1.0526
2020-03-02,-2.3936
2020-03-06,-18.2561
2020-03-09,-20.0
2020-03-12,0.0
2020-03-16,0.0
2020-03-17,-8.3333
2020-03-23,9.0909
2020-03-24,-10.0
2020-03-27,-7.4074
2020-04-03,-28.0
2020-04-14,27.7778
2020-04-15,19.5652
2020-04-20,0.3636
2020-04-23,-14.8551
2020-05-20,-14.8936
2020-06-15,-17.5
2020-06-30,-27.2727
2020-07-10,41.6667
2020-07-24,17.647100000000002
2020-07-27,11.0
2020-07-28,0.0
