ticker,RYAM US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-06-17,-1.599
2014-06-18,0.5
2014-06-19,-2.7612
2014-06-20,-2.021
2014-06-23,-0.7833
2014-06-24,-1.3158
2014-06-25,-2.0
2014-06-26,0.6803
2014-06-27,-0.1892
2014-06-30,4.9282
2014-07-01,0.8258
2014-07-02,2.5339
2014-07-03,7.9631
2014-07-07,-2.0116
2014-07-08,-3.445
2014-07-09,2.0039
2014-07-10,-0.551
2014-07-11,0.265
2014-07-14,2.2345
2014-07-15,2.2092
2014-07-16,0.3219
2014-07-17,-0.9168
2014-07-18,-2.8684
2014-07-21,-0.5477
2014-07-22,-1.7241
2014-07-23,-2.4123
2014-07-24,-0.2747
2014-07-25,-2.0531
2014-07-28,-2.1217
2014-07-29,-3.0556
2014-07-30,-10.1293
2014-07-31,-2.6978
2014-08-01,3.2039
2014-08-04,0.4179
2014-08-05,-0.8621
2014-08-06,-0.3898
2014-08-07,-2.4383
2014-08-08,0.0926
2014-08-11,2.5894
2014-08-12,0.4808
2014-08-13,1.8540999999999999
2014-08-14,-1.791
2014-08-15,-3.4679
2014-08-18,1.8891
2014-08-19,0.8815
2014-08-20,-0.3013
2014-08-21,-1.1182
2014-08-22,-0.1528
2014-08-25,0.7652
2014-08-26,0.1519
2014-08-27,-0.0303
2014-08-28,0.0303
2014-08-29,0.7279
2014-09-02,-1.084
2014-09-03,0.9132
2014-09-04,-1.3273
2014-09-05,0.2751
2014-09-08,0.6402
2014-09-09,0.3938
2014-09-10,-2.0217
2014-09-11,-0.0616
2014-09-12,-1.2018
2014-09-15,-3.0009
2014-09-16,-1.418
2014-09-17,-2.5172
2014-09-18,1.1066
2014-09-19,1.6915
2014-09-22,-0.1957
2014-09-23,-2.6144
2014-09-24,-2.5168
2014-09-25,4.9914
2014-09-26,0.4918
2014-09-29,5.2529
2014-09-30,2.0149
2014-10-01,0.5773
2014-10-02,-4.1088
2014-10-03,-3.3711
2014-10-06,3.4561
2014-10-07,0.6934
2014-10-08,2.8482
2014-10-09,-8.5514
2014-10-10,-0.4326
2014-10-13,-0.3008
2014-10-14,0.3352
2014-10-15,-0.3341
2014-10-16,-0.4358
2014-10-17,-1.5488
2014-10-20,-0.4446
2014-10-21,-0.1031
2014-10-22,-1.066
2014-10-23,0.2086
2014-10-24,0.9365
2014-10-27,1.7182
2014-10-28,2.4662
2014-10-29,-6.3963
2014-10-30,-1.8669
2014-10-31,2.4049
2014-11-03,0.0351
2014-11-04,-1.787
