ticker,HCAP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-05-03,0.0
2013-05-06,0.7933
2013-05-07,-0.7871
2013-05-08,0.6667
2013-05-09,-0.596
2013-05-10,0.533
2013-05-13,0.0663
2013-05-14,-0.2649
2013-05-15,0.2656
2013-05-16,-0.2649
2013-05-17,-0.2656
2013-05-20,0.466
2013-05-21,-0.4639
2013-05-22,0.5326
2013-05-23,0.0
2013-05-24,0.9272
2013-05-28,-2.1654
2013-05-29,0.2683
2013-05-30,0.4394
2013-05-31,0.2951
2013-06-03,0.0664
2013-06-04,0.3318
2013-06-05,0.1984
2013-06-06,-0.6601
2013-06-07,0.1329
2013-06-10,-1.3935
2013-06-11,0.9421
2013-06-12,-1.1333
2013-06-13,1.0317
2013-06-14,-0.3871
2013-06-17,4.7905999999999995
2013-06-18,-2.8133
2013-06-19,-1.0589
2013-06-20,0.3344
2013-06-21,0.9325
2013-06-24,0.265
2013-06-25,0.0659
2013-06-26,-0.8735
2013-06-27,0.9476
2013-06-28,-0.7237
2013-07-01,-1.0603
2013-07-02,0.2009
2013-07-03,0.869
2013-07-05,0.729
2013-07-08,-0.9868
2013-07-09,1.5449000000000002
2013-07-10,-0.1318
2013-07-11,-0.066
2013-07-12,-0.3303
2013-07-15,-0.2651
2013-07-16,0.9302
2013-07-17,-0.9217
2013-07-18,0.6645
2013-07-19,-1.9802
2013-07-22,-0.6734
2013-07-23,0.4068
2013-07-24,0.4051
2013-07-25,0.807
2013-07-26,1.0007
2013-07-29,-0.9247
2013-07-30,3.6667
2013-07-31,-1.6720000000000002
2013-08-01,0.1308
2013-08-02,1.241
2013-08-05,-0.9677
2013-08-06,-2.215
2013-08-07,0.4664
2013-08-08,1.4588999999999999
2013-08-09,-0.8497
2013-08-12,-1.1206
2013-08-13,-1.8
2013-08-14,1.1533
2013-08-15,-0.6703
2013-08-16,0.6081
2013-08-19,2.7468
2013-08-20,-0.6471
2013-08-21,-1.4967
2013-08-22,2.288
2013-08-23,-2.1711
2013-08-26,1.5467
2013-08-27,-2.4503
2013-08-28,-0.1358
2013-08-29,1.9714
2013-08-30,-2.0
2013-09-03,-0.2041
2013-09-04,1.0225
2013-09-05,0.6073
2013-09-06,1.5426
2013-09-09,0.3963
2013-09-10,0.3289
2013-09-11,-0.0656
2013-09-12,0.3937
2013-09-13,0.0
2013-09-16,-0.1961
2013-09-17,-1.1952
2013-09-18,-1.1686
2013-09-19,-0.2703
2013-09-20,-0.3388
2013-09-23,-1.3596
