ticker,BW US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-06-17,-3.5518
2015-06-18,-6.1203
2015-06-19,0.8287
2015-06-22,3.3425000000000002
2015-06-23,1.2725
2015-06-24,1.1518
2015-06-25,-1.6562999999999999
2015-06-26,1.3684
2015-06-29,-2.9076
2015-06-30,-0.2139
2015-07-01,6.6452
2015-07-02,-2.0101
2015-07-06,-0.2564
2015-07-07,-1.4396
2015-07-08,-2.5561
2015-07-09,-1.7130999999999998
2015-07-10,-0.5447
2015-07-13,0.4929
2015-07-14,0.218
2015-07-15,0.0
2015-07-16,0.3263
2015-07-17,0.3252
2015-07-20,-0.1621
2015-07-21,0.487
2015-07-22,0.377
2015-07-23,0.0
2015-07-24,0.5901
2015-07-27,2.6667
2015-07-28,2.0779
2015-07-29,0.6616
2015-07-30,0.3033
2015-07-31,-0.6048
2015-08-03,1.3185
2015-08-04,0.1502
2015-08-05,5.0975
2015-08-06,-5.0404
2015-08-07,-2.4036
2015-08-10,-0.2565
2015-08-11,-2.3663
2015-08-12,-0.6322
2015-08-13,-0.4772
2015-08-14,0.4795
2015-08-17,0.7423
2015-08-18,0.0
2015-08-19,-0.6316
2015-08-20,1.3242
2015-08-21,-2.3523
2015-08-24,-4.015
2015-08-25,0.4462
2015-08-26,0.3331
2015-08-27,-0.4427
2015-08-28,1.3341
2015-08-31,1.2068
2015-09-01,-1.1381999999999999
2015-09-02,-0.0548
2015-09-03,-1.8651
2015-09-04,0.2236
2015-09-08,-1.0039
2015-09-09,-1.1268
2015-09-10,0.3989
2015-09-11,-0.9081
2015-09-14,-0.1718
2015-09-15,-0.2869
2015-09-16,0.2877
2015-09-17,0.7458
2015-09-18,-1.5375999999999999
2015-09-21,1.2146
2015-09-22,-3.3714
2015-09-23,-0.0591
2015-09-24,0.1183
2015-09-25,1.9504000000000001
2015-09-28,-1.971
2015-09-29,-2.1289
2015-09-30,1.5106000000000002
2015-10-01,-3.1548
2015-10-02,-1.1678
2015-10-05,4.4776
2015-10-06,1.9643000000000002
2015-10-07,0.8173
2015-10-08,0.9844
2015-10-09,2.7523
2015-10-12,-3.1808
2015-10-13,1.6138
2015-10-14,-0.1702
2015-10-15,-0.1705
2015-10-16,-2.5042999999999997
2015-10-19,-1.8096999999999999
2015-10-20,-1.1891
2015-10-21,-1.9254
2015-10-22,2.8221
2015-10-23,1.2530000000000001
2015-10-26,-0.7661
2015-10-27,0.8907
2015-10-28,0.2354
2015-10-29,-0.411
2015-10-30,0.1179
