ticker,KTB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-05-10,0.7407
2019-05-14,-1.9607999999999999
2019-05-15,1.25
2019-05-16,0.0
2019-05-17,0.0
2019-05-20,0.0
2019-05-21,-0.642
2019-05-22,-7.6789
2019-05-23,3.9031000000000002
2019-05-24,-5.6995000000000005
2019-05-28,-0.3297
2019-05-29,-9.1235
2019-05-30,-5.5202
2019-05-31,-5.939
2019-06-03,-0.8532
2019-06-04,5.852
2019-06-05,2.0488
2019-06-06,-2.8043
2019-06-07,-6.8197
2019-06-10,7.0373
2019-06-11,-7.0348
2019-06-12,-3.9604
2019-06-13,6.1487
2019-06-14,-1.8384
2019-06-17,-1.2721
2019-06-18,-2.0401
2019-06-19,0.0365
2019-06-20,1.3514
2019-06-21,-0.8649
2019-06-24,0.618
2019-06-25,-5.5997
2019-06-26,2.0666
2019-06-27,6.3742
2019-06-28,-1.2337
2019-07-01,4.6752
2019-07-02,-0.5455
2019-07-03,0.6514
2019-07-05,1.6008
2019-07-08,3.2518000000000002
2019-07-09,0.6169
2019-07-10,4.2272
2019-07-11,3.5913
2019-07-12,0.1195
2019-07-15,-5.1642
2019-07-16,0.7869
2019-07-17,-4.4347
2019-07-18,-4.1503
2019-07-19,0.5455
2019-07-22,3.5944000000000003
2019-07-23,1.4729999999999999
2019-07-24,1.7419
2019-07-25,-4.8827
2019-07-26,-0.2667
2019-07-29,3.7433
2019-07-30,-0.2255
2019-07-31,-5.2954
2019-08-01,-0.5796
2019-08-02,3.1207
2019-08-05,-5.3209
2019-08-06,2.6695
2019-08-07,1.2658
2019-08-08,14.2568
2019-08-09,1.5375999999999999
2019-08-12,-6.0571
2019-08-13,0.124
2019-08-14,-4.8297
2019-08-15,-2.0494
2019-08-16,8.004
2019-08-19,-2.091
2019-08-20,1.3819
2019-08-21,3.7794
2019-08-22,-1.194
2019-08-23,-2.719
2019-08-26,4.441
2019-08-27,-2.1112
2019-08-28,1.2758
2019-08-29,1.6797
2019-08-30,1.0029
2019-09-03,-0.0292
2019-09-04,0.5843
2019-09-05,2.7883
2019-09-06,1.6389
2019-09-09,0.139
2019-09-10,-2.1715
2019-09-11,3.8628
2019-09-12,-0.0833
2019-09-13,-1.4444
2019-09-16,-2.5084999999999997
2019-09-17,-1.7057
2019-09-18,0.7941
2019-09-19,1.4006
2019-09-20,-2.5899
2019-09-23,4.9926
2019-09-24,-3.1514
2019-09-25,-1.2783
2019-09-26,0.9417
2019-09-27,0.6414
