ticker,NAEX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-09-02,100.0
2015-09-24,10.0
2015-10-01,-50.4545
2015-10-05,-12.844
2015-10-06,15.7895
2015-10-26,-10.9091
2015-10-27,7.1429
2015-11-23,-16.1905
2015-12-01,11.3636
2015-12-02,-6.1224
2015-12-07,1.087
2015-12-08,1.0753
2015-12-09,1.0638
2015-12-14,1.0526
2015-12-15,4.1667
2015-12-16,-2.0
2015-12-21,2.0408
2015-12-30,5.0
2015-12-31,3.8095
2016-01-04,9.1743
2016-01-05,4.2017
2016-01-06,0.0
2016-01-07,4.8387
2016-01-12,0.7692
2016-01-13,-2.2901
2016-01-15,3.125
2016-01-21,0.0
2016-01-22,1.5152
2016-01-25,13.4328
2016-01-26,0.0
2016-01-27,-14.473700000000001
2016-01-28,1.5385
2016-01-29,0.0
2016-02-01,0.7576
2016-02-04,2.2556
2016-02-05,54.4118
2016-02-12,19.0476
2016-02-16,10.0
2016-02-18,-6.9091000000000005
2016-02-19,3.5156
2016-02-26,86.7925
2016-04-04,0.0
2016-04-05,9.899000000000001
2016-04-06,14.8897
2016-04-07,14.88
2016-04-08,39.2758
2016-04-12,3.0
2016-04-14,0.0
2016-04-15,0.9709
2016-04-21,44.2308
2016-05-16,33.3333
