ticker,DPSM US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-12-10,348.0
2014-02-03,28.5714
2014-02-04,0.2222
2014-02-05,-0.2217
2014-02-06,6.6667
2014-02-07,-2.0833
2014-02-10,-6.383
2014-02-11,11.3636
2014-02-12,5.102
2014-02-13,-0.9709
2014-02-14,-1.9607999999999999
2014-02-18,0.0
2014-02-19,0.0
2014-02-20,-0.2
2014-02-21,-6.8136
2014-02-24,-5.3495
2014-02-25,0.1988
2014-02-27,2.0408
2014-02-28,4.4444
2014-03-03,-7.234
2014-03-04,0.0
2014-03-05,0.9174
2014-03-06,-2.2727
2014-03-07,2.3256
2014-03-10,2.2727
2014-03-11,-6.4444
2014-03-12,6.8884
2014-03-13,-2.2222
2014-03-14,0.0
2014-03-17,0.0
2014-03-18,2.2727
2014-03-19,0.0
2014-03-20,2.2222
2014-03-21,-4.3478
2014-03-24,2.2727
2014-03-25,0.0
2014-03-26,0.0
2014-03-27,2.2222
2014-03-28,-3.2609
2014-03-31,1.1236
2014-04-01,8.8889
2014-04-02,12.2449
2014-04-03,7.2727
2014-04-04,10.1695
2014-04-07,-3.8462
2014-04-08,8.64
2014-04-09,7.5295
2014-04-10,8.2007
2014-04-11,-8.8608
2014-04-14,1.25
2014-04-15,-4.1152
2014-04-16,-9.1559
2014-04-17,-5.5118
2014-04-21,-1.8333
2014-04-22,-3.056
2014-04-23,1.5762
2014-04-24,3.2759
2014-04-25,-3.005
2014-04-28,-1.8933
2014-04-29,-7.0175
2014-04-30,-3.7736
2014-05-01,-5.9069
2014-05-02,-4.1417
2014-05-05,-4.3478
2014-05-06,0.0
2014-05-07,0.0
2014-05-08,-1.8182
2014-05-09,5.3241
2014-05-12,1.0989
2014-05-13,4.3478
2014-05-14,-4.1667
2014-05-15,8.6957
2014-05-16,-10.0
2014-05-19,4.9306
2014-05-20,-7.6638
2014-05-21,7.7982
2014-05-22,-3.1915
2014-05-23,-3.2967
2014-05-27,0.0
2014-05-28,3.4091
2014-05-29,-5.467
2014-05-30,16.2453
2014-06-02,-2.0
2014-06-03,0.0
2014-06-04,1.8367
2014-06-05,8.2164
2014-06-06,16.6667
2014-06-09,-6.9841
2014-06-10,-13.8225
2014-06-11,-10.8911
2014-06-12,-10.0
2014-06-13,-3.9506
2014-06-16,-6.1697
2014-06-17,5.4795
2014-06-18,-2.5974
2014-06-19,0.0
2014-06-20,-2.6167
2014-06-23,4.0561
2014-06-24,-5.2303
2014-06-25,-2.8115
2014-06-26,0.0
