ticker,SMAL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-24,-2.4922
2000-01-26,0.0
2000-02-02,0.0
2000-02-04,1.278
2000-02-07,-1.2618
2000-02-08,0.0
2000-02-16,-1.9169
2000-03-01,-1.6287
2000-03-06,0.0
2000-03-09,-1.6556
2000-04-13,0.0
2000-04-18,-4.3771
2000-04-19,2.8169
2000-04-20,-2.0548
2000-05-03,4.5455
2000-05-04,-3.0717
2000-05-11,-1.0563
2000-05-15,-3.2028
2000-05-16,0.1838
2000-05-30,0.9174
2000-06-06,-1.0909
2000-06-08,0.1838
2000-08-02,17.4312
2000-08-03,0.3125
2000-08-07,-0.7788
2000-08-17,-4.5526
2000-08-22,0.0
2000-08-31,5.2632
2000-09-01,0.3125
2000-09-18,3.7382999999999997
2000-09-26,-6.3063
2000-09-27,0.0
2000-09-29,0.1603
2000-11-01,10.4
2000-11-02,6.087
2000-11-30,8.8889
2001-02-06,-8.1633
2001-02-08,0.0
2001-02-13,2.2222
2001-02-21,0.0
2001-02-28,0.0
2001-03-27,0.2717
2001-05-30,-0.011
2001-06-28,43.2665
2001-07-02,-29.2308
2001-07-09,8.9565
2001-07-17,15.7223
2001-07-18,5.1724
2001-07-19,-4.918
2001-08-01,1.1724
2001-08-17,14.1786
2001-08-24,-12.7761
2001-08-27,15.6742
2001-08-30,-12.6036
2001-09-25,-0.4739
2001-09-26,5.102
2001-09-28,-2.9126
2001-10-02,13.3333
2001-10-03,0.0
2001-10-31,-10.0
2001-11-02,12.4897
2001-11-05,-9.4118
2001-11-06,0.7792
2001-12-05,9.5361
2001-12-12,-5.1765
2001-12-26,5.4591
2001-12-27,-7.5294
2002-01-15,8.1425
2002-02-22,-5.8824
2002-02-25,7.8125
2002-02-26,-9.2754
2002-03-01,10.2236
2002-03-07,-5.7971
2002-03-08,6.1538
2002-03-15,4.3478
2002-03-26,-5.5556
2002-03-27,-2.9412000000000003
2002-03-28,-3.0303
2002-04-01,9.375
2002-04-08,-5.4286
2002-04-10,2.719
2002-04-11,0.0
2002-04-12,-0.2941
2002-04-17,-6.9617
2002-05-07,0.7541
2002-05-08,0.3185
2002-05-09,1.5873
2002-05-10,-3.125
2002-05-15,0.6452
2002-05-16,1.6026
2002-05-20,-5.3628
2002-05-21,4.0
2002-05-22,-0.641
2002-05-23,-0.9677
2002-05-28,5.2117
2002-06-03,-4.9536
2002-06-05,-0.6515
2002-06-25,4.5902
2002-07-08,-0.7524
2002-07-10,-4.2956
2002-07-11,3.9604
