ticker,LRN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-12-13,36.3889
2007-12-14,3.8697
2007-12-17,-2.0392
2007-12-18,2.6421
2007-12-19,13.1045
2007-12-20,-6.5172
2007-12-21,4.7953
2007-12-24,0.2464
2007-12-26,-0.6671
2007-12-27,-3.5348
2007-12-28,-4.6904
2007-12-31,-0.5383
2008-01-02,1.8941
2008-01-03,5.5008
2008-01-04,-1.2585
2008-01-07,-6.0452
2008-01-08,0.9302
2008-01-09,0.2304
2008-01-10,0.8429
2008-01-11,-0.4939
2008-01-14,-10.8438
2008-01-15,-14.2184
2008-01-16,5.5916
2008-01-17,0.7092
2008-01-18,2.2535
2008-01-22,5.5096
2008-01-23,4.4386
2008-01-24,6.25
2008-01-25,-0.8235
2008-01-28,-1.6606999999999998
2008-01-29,-2.6538
2008-01-30,-4.9979
2008-01-31,0.0
2008-02-01,0.0
2008-02-04,3.0435
2008-02-05,-3.038
2008-02-06,0.3046
2008-02-07,-0.2169
2008-02-08,-0.7826
2008-02-11,-3.4619
2008-02-12,0.9986
2008-02-13,7.8652
2008-02-14,-1.7708
2008-02-15,6.3839
2008-02-19,7.496
2008-02-20,1.4095
2008-02-21,-3.7308
2008-02-22,1.4438
2008-02-25,3.3333
2008-02-26,-4.1247
2008-02-27,5.0204
2008-02-28,-2.0878
2008-02-29,-0.2941
2008-03-03,-1.1062
2008-03-04,-1.7896999999999998
2008-03-05,-4.7077
2008-03-06,-6.4542
2008-03-07,1.6183999999999998
2008-03-10,-6.9153
2008-03-11,3.4669
2008-03-12,-8.5292
2008-03-13,-0.4757
2008-03-14,-2.0076
2008-03-17,1.4634
2008-03-18,8.8942
2008-03-19,-7.7263
2008-03-20,7.177
2008-03-24,2.6786
2008-03-25,-1.0
2008-03-26,-2.0641
2008-03-27,-1.5247000000000002
2008-03-28,-5.5556
2008-03-31,-5.2555
2008-04-01,-2.9008000000000003
2008-04-02,-5.6604
2008-04-03,2.7778
2008-04-04,5.2973
2008-04-07,12.9363
2008-04-08,-3.1818
2008-04-09,1.0798
2008-04-10,2.6475
2008-04-11,-6.6063
2008-04-14,-0.5329
2008-04-15,6.6732
2008-04-16,4.9772
2008-04-17,-0.435
2008-04-18,-0.3495
2008-04-21,-2.7619
2008-04-22,-8.6114
2008-04-23,-2.8120000000000003
2008-04-24,16.7513
2008-04-25,-0.4348
2008-04-28,0.262
2008-04-29,2.8746
2008-04-30,7.8747
2008-05-01,-6.2402
2008-05-02,-2.8464
