ticker,ECOR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-06-22,32.3333
2018-06-25,-6.2972
2018-06-26,-1.5591
2018-06-27,-1.3108
2018-06-28,-3.3758
2018-06-29,-5.441
2018-07-02,-6.1175
2018-07-03,0.4516
2018-07-05,1.991
2018-07-06,-1.1335
2018-07-09,-8.598700000000001
2018-07-10,-1.6724999999999999
2018-07-11,-3.8979
2018-07-12,6.9322
2018-07-13,2.7586
2018-07-16,-1.745
2018-07-17,8.9481
2018-07-18,1.5674000000000001
2018-07-19,-2.2222
2018-07-20,-3.2197
2018-07-23,-3.4573
2018-07-24,-1.0135
2018-07-25,-1.0239
2018-07-26,-2.7586
2018-07-27,-2.6241
2018-07-30,-1.748
2018-07-31,0.0741
2018-08-01,-1.6296
2018-08-02,1.6566
2018-08-03,-0.2963
2018-08-06,-2.3774
2018-08-07,0.3805
2018-08-08,0.6823
2018-08-09,-1.9578
2018-08-10,1.0753
2018-08-13,6.003
2018-08-14,-2.3656
2018-08-15,-3.4508
2018-08-16,3.8023
2018-08-17,-0.6593
2018-08-20,2.1386
2018-08-21,0.0722
2018-08-22,6.2049
2018-08-23,2.3098
2018-08-24,-4.4489
2018-08-27,-5.4899000000000004
2018-08-28,-0.0735
2018-08-29,3.8999
2018-08-30,14.6601
2018-08-31,0.6794
2018-09-04,5.5215
2018-09-05,-0.8721
2018-09-06,0.176
2018-09-07,2.2834
2018-09-10,-0.2862
2018-09-11,0.6889
2018-09-12,-3.3067
2018-09-13,-0.6486
2018-09-14,-6.1721
2018-09-17,-9.4244
2018-09-18,0.6285
2018-09-19,-3.331
2018-09-20,-1.3639999999999999
2018-09-21,0.4367
2018-09-24,4.4203
2018-09-25,0.4858
2018-09-26,-1.4503
2018-09-27,-1.8921000000000001
2018-09-28,0.0
2018-10-01,2.0
2018-10-02,-0.7703
2018-10-03,0.0
2018-10-04,-5.5046
2018-10-05,-0.5228
2018-10-08,-0.6757
2018-10-09,-0.907
2018-10-10,-1.8307
2018-10-11,-4.1181
2018-10-12,-4.5381
2018-10-15,1.9525000000000001
2018-10-16,3.9134
2018-10-17,-1.0417
2018-10-18,-1.7004000000000001
2018-10-19,-1.2356
2018-10-22,-2.8773999999999997
2018-10-23,0.3006
2018-10-24,-1.4555
2018-10-25,-3.7359
2018-10-26,-2.7978
2018-10-29,-3.9926
2018-10-30,-2.6112
2018-10-31,-0.3972
2018-11-01,2.6919
2018-11-02,1.068
2018-11-05,-2.6897
2018-11-06,-0.9872
