ticker,DEER US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-11-18,-50.0
2008-12-09,-74.5
2008-12-15,0.0
2008-12-29,194.1176
2009-01-21,-60.0
2009-02-24,3.3333
2009-02-25,-3.2258
2009-03-02,-16.6667
2009-03-04,-20.0
2009-03-06,275.0
2009-03-13,-33.3333
2009-03-16,-35.0
2009-03-23,15.3846
2009-03-27,13.3333
2009-03-31,100.0
2009-04-01,-5.8824
2009-04-02,0.625
2009-04-07,0.0
2009-04-14,14.9068
2009-04-22,-10.8108
2009-04-23,3.0303
2009-04-24,8.6957
2009-04-27,1.1764999999999999
2009-04-28,-1.1628
2009-04-29,7.7647
2009-04-30,3.2751
2009-05-01,3.1712
2009-05-04,4.5082
2009-05-05,1.9607999999999999
2009-05-06,-0.9615
2009-05-07,0.0
2009-05-08,0.7767
2009-05-11,-1.7341
2009-05-12,-1.9607999999999999
2009-05-13,0.0
2009-05-14,0.0
2009-05-15,2.0
2009-05-18,0.0
2009-05-20,8.8235
2009-05-21,2.3423
2009-05-22,7.0423
2009-05-26,1.9737
2009-05-27,0.9677
2009-05-28,0.639
2009-05-29,1.2698
2009-06-01,3.4483
2009-06-02,1.5152
2009-06-03,4.3284
2009-06-04,1.5737
2009-06-05,5.6338
2009-06-08,0.0
2009-06-09,5.2
2009-06-10,0.6337
2009-06-11,0.3778
2009-06-12,3.0113
2009-06-15,3.1669
2009-06-16,-0.8264
2009-06-17,-4.7619
2009-06-18,2.5
2009-06-19,-2.439
2009-06-22,-2.5
2009-06-23,-0.641
2009-06-24,3.2258
2009-06-25,4.375
2009-06-26,-6.5868
2009-06-29,2.5641
2009-06-30,-2.5
2009-07-01,0.0
2009-07-02,0.641
2009-07-06,3.4395
2009-07-07,1.601
2009-07-08,-4.8485
2009-07-10,3.1847
2009-07-13,-1.2346
2009-07-14,15.625
2009-07-15,5.9459
2009-07-16,21.4286
2009-07-17,5.042
2009-07-20,-0.16
2009-07-21,-11.0577
2009-07-22,-1.2162
2009-07-23,0.1368
2009-07-24,3.0965
2009-07-27,1.0954
2009-07-28,-3.8798
2009-07-29,-2.0
2009-07-30,2.0408
2009-07-31,-4.6364
2009-08-03,0.572
2009-08-04,6.0664
2009-08-05,6.8811
2009-08-06,9.1137
2009-08-07,1.1494
2009-08-10,-11.818200000000001
2009-08-11,7.3883
2009-08-12,2.799
2009-08-13,-4.9796
2009-08-14,1.5561
2009-08-17,-4.4274000000000004
2009-08-18,0.4135
2009-08-19,-2.0168
