ticker,TRCH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-07-29,-33.3333
2010-11-08,621.4286
2010-11-24,3.9604
2010-11-30,0.0
2010-12-09,328.5714
2010-12-10,22.2222
2010-12-13,18.1818
2010-12-14,69.2308
2010-12-15,9.0909
2010-12-16,0.0
2010-12-17,0.0
2010-12-20,-1.6667
2010-12-21,-6.7797
2010-12-22,-9.0909
2010-12-23,12.0
2010-12-27,-1.7856999999999998
2010-12-28,3.6364
2011-01-03,-7.0175
2011-01-04,-1.8868
2011-01-05,-1.9231
2011-01-06,9.8039
2011-01-07,5.3571
2011-01-10,3.3898
2011-01-11,-3.2787
2011-01-12,0.0
2011-01-13,-1.6949
2011-01-14,1.7241
2011-01-18,1.6949
2011-01-20,-5.0
2011-01-24,3.5088
2011-01-28,-5.0847
2011-02-01,-1.7856999999999998
2011-02-02,-9.0909
2011-02-03,0.0
2011-02-09,12.0
2011-02-11,1.7856999999999998
2011-02-14,-1.7544
2011-02-15,8.9286
2011-02-16,0.0
2011-02-17,-6.5574
2011-02-18,0.0
2011-02-23,-1.4035
2011-02-24,6.7616
2011-02-25,13.3333
2011-02-28,4.4118
2011-03-01,-1.4085
2011-03-03,0.0
2011-03-04,-2.8571
2011-03-07,0.0
2011-03-08,-1.4706000000000001
2011-03-09,-1.4925
2011-03-10,6.0606
2011-03-14,-5.4286
2011-03-17,0.6042
2011-03-23,-0.9009
2011-03-24,-4.5455
2011-03-25,4.7619
2011-03-28,-3.0303
2011-03-29,9.375
2011-03-30,5.7143
2011-03-31,0.0
2011-04-01,-5.4054
2011-04-04,-0.2857
2011-04-05,6.0172
2011-04-06,-5.4054
2011-04-07,0.0
2011-04-08,5.7143
2011-04-11,-18.6486
2011-04-12,2.99
2011-04-13,4.8387
2011-04-14,7.6923
2011-04-15,5.1429
2011-04-19,0.0
2011-04-20,0.0
2011-04-26,5.9783
2011-04-27,0.0
2011-04-28,0.0
2011-04-29,2.5641
2011-05-03,-5.0
2011-05-04,-1.3158
2011-05-05,-1.3333
2011-05-10,0.0
2011-05-11,-3.5135
2011-05-12,3.6414999999999997
2011-05-13,-1.3514
2011-05-16,1.3699
2011-05-17,2.7027
2011-05-18,-3.9474
2011-05-19,-1.3699
2011-05-23,8.3333
2011-05-24,2.5641
2011-05-26,0.0
2011-05-31,-1.25
2011-06-01,0.0
2011-06-03,0.0
2011-06-06,-7.5949
2011-06-07,-4.1096
2011-06-08,-7.1429
2011-06-09,0.3077
2011-06-10,15.0307
