ticker,GTE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-11-15,10.0
2005-11-16,6.0606
2005-11-17,2.8571
2005-11-18,-2.7778
2005-11-21,0.0
2005-11-22,8.5714
2005-11-23,7.8947
2005-11-25,0.0
2005-11-28,2.439
2005-11-29,2.3810000000000002
2005-11-30,2.3256
2005-12-01,3.6364
2005-12-02,3.0702
2005-12-05,0.8511
2005-12-06,0.4219
2005-12-07,0.0
2005-12-08,-1.2605
2005-12-09,3.8298
2005-12-12,4.5082
2005-12-13,-1.1764999999999999
2005-12-14,-0.7937
2005-12-15,7.2
2005-12-16,4.4776
2005-12-19,-2.8571
2005-12-20,-3.6765
2005-12-21,2.6718
2005-12-22,0.3717
2005-12-23,0.0
2005-12-27,0.0
2005-12-28,2.5926
2005-12-29,-1.8051
2005-12-30,1.4706000000000001
2006-01-03,9.4203
2006-01-04,5.9603
2006-01-05,8.125
2006-01-06,1.7341
2006-01-09,8.5227
2006-01-10,0.0
2006-01-11,8.1152
2006-01-12,1.5737999999999999
2006-01-13,3.6949
2006-01-17,13.3333
2006-01-18,-6.0852
2006-01-19,6.9114
2006-01-20,9.0909
2006-01-23,10.1852
2006-01-24,-9.916
2006-01-25,-6.7164
2006-01-26,0.6
2006-01-27,2.1869
2006-01-30,14.3969
2006-01-31,-5.4422
2006-02-01,-0.1799
2006-02-02,4.1441
2006-02-03,-3.1142
2006-02-06,0.8929
2006-02-07,-2.3009
2006-02-08,-6.1594
2006-02-09,4.4402
2006-02-10,-0.1848
2006-02-13,-4.0741
2006-02-14,-19.8842
2006-02-15,5.5422
2006-02-16,7.5342
2006-02-17,4.8832
2006-02-21,3.2389
2006-02-22,-3.1373
2006-02-23,0.2024
2006-02-24,-4.6465
2006-02-27,-6.7797
2006-02-28,-0.6818
2006-03-01,2.2883
2006-03-02,-1.7896999999999998
2006-03-03,0.2278
2006-03-06,-3.1818
2006-03-07,-0.4695
2006-03-08,-7.5472
2006-03-09,7.1429
2006-03-10,-4.7619
2006-03-13,-6.25
2006-03-14,-6.9333
2006-03-15,-2.5788
2006-03-16,17.647100000000002
2006-03-17,-2.5
2006-03-20,2.5641
2006-03-21,7.25
2006-03-22,0.2331
2006-03-23,6.9767
2006-03-24,1.087
2006-03-27,-4.3011
2006-03-28,-1.236
2006-03-29,-0.5688
2006-03-30,5.2632
2006-03-31,2.1739
2006-04-03,0.6383
2006-04-04,2.1142
2006-04-05,1.0352
2006-04-06,-1.6393
2006-04-07,-3.125
