ticker,DOX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,1.4493
2000-01-04,0.7143
2000-01-05,0.1773
2000-01-06,-5.1327
2000-01-07,8.209
2000-01-10,8.7931
2000-01-11,-3.0111
2000-01-12,-1.7974
2000-01-13,0.8319
2000-01-14,9.571
2000-01-18,6.0241
2000-01-19,2.4148
2000-01-20,7.6283
2000-01-21,7.2165
2000-01-24,6.0096
2000-01-25,-1.1338
2000-01-26,4.8165
2000-01-27,-5.9081
2000-01-28,-5.1163
2000-01-31,4.2892
2000-02-01,1.5276
2000-02-02,-0.3472
2000-02-03,3.1359
2000-02-04,4.3919
2000-02-07,1.6181
2000-02-08,1.2739
2000-02-09,-0.1048
2000-02-10,1.7838
2000-02-11,4.2783999999999995
2000-02-14,8.0573
2000-02-15,0.6404
2000-02-16,2.1818
2000-02-17,-1.6904
2000-02-18,-2.9864
2000-02-22,-3.5448
2000-02-23,-1.1605
2000-02-24,-4.4031
2000-02-25,1.74
2000-02-28,5.4326
2000-02-29,13.2634
2000-03-01,16.5965
2000-03-02,-5.5636
2000-03-03,5.8914
2000-03-06,3.1792
2000-03-07,-2.9412000000000003
2000-03-08,-6.4935
2000-03-09,0.0772
2000-03-10,7.4017
2000-03-13,-0.4307
2000-03-14,-1.3699
2000-03-15,-7.5292
2000-03-16,-2.9249
2000-03-17,5.5375
2000-03-20,2.5463
2000-03-21,-3.5365
2000-03-22,3.8222
2000-03-23,7.8888
2000-03-24,0.0
2000-03-27,-3.7603999999999997
2000-03-28,-4.5586
2000-03-29,-6.141
2000-03-30,-9.2084
2000-03-31,5.3381
2000-04-03,-7.5169
2000-04-04,-7.5799
2000-04-05,7.9051
2000-04-06,12.8205
2000-04-07,12.987
2000-04-10,-10.3448
2000-04-11,-6.9712
2000-04-12,-4.7373
2000-04-13,-6.3291
2000-04-14,-15.444
2000-04-17,15.0685
2000-04-18,10.2183
2000-04-19,7.0207
2000-04-20,-1.9344000000000001
2000-04-24,-7.3756
2000-04-25,6.2963000000000005
2000-04-26,-1.0453
2000-04-27,-1.4085
2000-04-28,-3.3036
2000-05-01,8.2179
2000-05-02,-0.3413
2000-05-03,-0.5137
2000-05-04,0.3442
2000-05-05,-3.0017
2000-05-08,-7.5155
2000-05-09,-8.9866
2000-05-10,-10.084
2000-05-11,11.0981
2000-05-12,2.2082
2000-05-15,-1.6461000000000001
2000-05-16,9.205
2000-05-17,-1.0536
2000-05-18,-4.453
2000-05-19,-0.9119
2000-05-22,-4.8057
