ticker,HSTO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-07-25,-13.6364
2013-07-26,1.0526
2013-07-29,-2.6042
2013-07-30,-2.1390000000000002
2013-07-31,-0.3279
2013-08-01,-0.5482
2013-08-02,-1.7641
2013-08-05,7.9686
2013-08-06,-0.104
2013-08-07,-3.1217
2013-08-08,-0.7519
2013-08-09,-2.5974
2013-08-12,3.2222
2013-08-13,-3.1216
2013-08-14,0.1111
2013-08-15,3.2186
2013-08-16,-0.1075
2013-08-19,-1.5608
2013-08-20,-2.5697
2013-08-21,0.8979
2013-08-22,-0.6674
2013-08-23,1.7917
2013-08-26,1.3201
2013-08-27,-2.4973
2013-08-28,0.8909
2013-08-29,-0.1104
2013-08-30,0.442
2013-09-03,0.0
2013-09-04,-0.5501
2013-09-05,-2.1018
2013-09-06,-0.904
2013-09-09,-2.1665
2013-09-10,0.4662
2013-09-11,0.9281
2013-09-12,5.6322
2013-09-13,0.6529
2013-09-16,2.1622
2013-09-17,0.4233
2013-09-18,1.686
2013-09-19,-0.4145
2013-09-20,0.1041
2013-09-23,4.2620000000000005
2013-09-24,-4.2871
2013-09-25,8.3333
2013-09-26,0.8654
2013-09-27,-0.1907
2013-09-30,-4.0115
2013-10-01,1.592
2013-10-02,1.5671
2013-10-03,0.3857
2013-10-04,-1.2488
2013-10-07,-1.3618999999999999
2013-10-08,-6.8047
2013-10-09,-2.5397
2013-10-10,0.4343
2013-10-11,1.2973
2013-10-14,3.842
2013-10-15,-1.3361
2013-10-16,4.0625
2013-10-17,-0.5005
2013-10-18,0.503
2013-10-21,-1.3013
2013-10-22,0.5071
2013-10-23,-1.8163
2013-10-24,-5.1387
2013-10-25,-0.7584
2013-10-28,-1.7467000000000001
2013-10-29,0.3333
2013-10-30,-0.8859
2013-10-31,-0.5587
2013-11-01,-2.1348
2013-11-04,5.6257
2013-11-05,-1.8477999999999999
2013-11-06,-0.8859
2013-11-07,-4.9162
2013-11-08,1.9976
2013-11-11,-1.1521
2013-11-12,-0.6993
2013-11-13,-1.5258
2013-11-14,-1.6686999999999999
2013-11-15,-7.0303
2013-11-18,-9.3872
2013-11-19,1.295
2013-11-20,-1.1364
2013-11-21,-1.0057
2013-11-22,-11.901299999999999
2013-11-25,-0.8237
2013-11-26,0.8306
2013-11-27,1.9769
2013-11-29,3.0695
2013-12-02,-3.7618
2013-12-03,18.0782
2013-12-04,-6.8966
2013-12-05,1.7778
2013-12-06,-2.7656
2013-12-09,-7.7844
2013-12-10,-3.2468
