ticker,LUCC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-06-08,3.8462
2010-06-09,0.0
2010-06-10,0.0
2010-06-11,0.0
2010-06-15,0.0
2010-06-23,4.4444
2010-06-24,0.0
2010-07-07,0.7092
2010-07-14,0.0
2010-07-20,-8.4507
2010-07-29,-7.6923
2010-08-02,16.6667
2010-08-05,2.8571
2010-08-06,-2.7778
2010-08-18,3.5714
2010-08-19,3.4483
2010-08-24,6.6667
2010-08-30,0.0
2010-09-01,-6.25
2010-09-08,6.6667
2010-10-07,-12.5
2010-10-12,0.0
2010-10-22,-30.0
2010-10-25,-2.8571
2010-10-26,14.4958
2010-10-27,0.9174
2010-10-28,1.8182
2010-11-01,-2.6786
2010-11-03,-3.6696999999999997
2010-11-04,-12.0
2010-11-05,-4.7619
2010-11-08,0.2273
2010-11-09,-7.483
2010-11-10,2.9412000000000003
2010-11-12,-0.9524
2010-11-15,8.1731
2010-11-16,0.0
2010-11-17,0.0
2010-11-18,-11.1111
2010-11-23,0.0
2010-11-24,6.25
2010-11-26,0.0
2010-11-29,-15.2941
2010-11-30,11.1111
2010-12-01,0.0
2010-12-03,-17.5
2010-12-06,-6.0606
2010-12-07,-0.9677
2010-12-09,14.0065
2010-12-10,0.0
2010-12-13,0.0
2010-12-14,0.2857
2010-12-20,13.9601
2010-12-22,-8.75
2010-12-23,0.0
2010-12-29,11.2329
2010-12-30,9.6059
2010-12-31,-17.9775
2011-01-03,9.3151
2011-01-05,2.2556
2011-01-06,0.0
2011-01-07,-0.7353
2011-01-11,0.0
2011-01-12,-12.3457
2011-01-13,18.0282
2011-01-14,-0.2387
2011-01-19,-3.11
2011-01-20,-1.2346
2011-01-25,0.0
2011-01-26,-16.25
2011-01-27,-8.9552
2011-01-28,3.2787
2011-01-31,11.1111
2011-02-01,-12.857099999999999
2011-02-02,6.5574
2011-02-03,-4.6154
2011-02-04,-3.2258
2011-02-07,-8.3333
2011-02-09,45.4545
2011-02-10,-6.25
2011-02-11,2.6667
2011-02-16,-3.8961
2011-02-17,-16.2162
2011-02-18,-3.2258
2011-02-22,3.3333
2011-02-23,12.9032
2011-02-24,0.0
2011-02-25,0.0
2011-02-28,7.1429
2011-03-03,-6.6667
2011-03-07,-12.857099999999999
2011-03-08,-14.7541
2011-03-11,19.2308
2011-03-14,-6.4516
2011-03-16,8.6207
2011-03-17,1.5873
2011-03-18,-6.25
2011-03-21,-3.3333
2011-03-25,-3.1034
2011-03-29,3.2028
2011-03-30,-1.0345
