ticker,RRTS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-05-13,-1.7856999999999998
2010-05-14,0.7273
2010-05-17,1.083
2010-05-18,-0.5714
2010-05-19,1.0776
2010-05-20,-1.1372
2010-05-21,-0.4313
2010-05-24,0.722
2010-05-25,-1.4337
2010-05-26,1.0909
2010-05-27,0.7194
2010-05-28,0.2857
2010-06-01,-0.4274
2010-06-02,0.2146
2010-06-03,-0.0714
2010-06-04,0.0
2010-06-07,-0.6429
2010-06-08,-3.0194
2010-06-09,0.0
2010-06-10,1.5567
2010-06-11,0.292
2010-06-14,0.4367
2010-06-15,0.5797
2010-06-16,0.2882
2010-06-17,-0.8621
2010-06-18,1.8115999999999999
2010-06-21,0.7829
2010-06-22,0.2825
2010-06-23,1.2676
2010-06-24,-1.1127
2010-06-25,0.0703
2010-06-28,-0.6325
2010-06-29,-0.6365
2010-06-30,1.1388
2010-07-01,-0.8445
2010-07-02,-0.4258
2010-07-06,-0.0713
2010-07-07,1.5692
2010-07-08,-0.1404
2010-07-09,0.0703
2010-07-12,-0.4919
2010-07-13,1.1299
2010-07-14,0.3492
2010-07-15,-1.1134
2010-07-16,-0.7741
2010-07-19,0.2128
2010-07-20,0.1415
2010-07-21,-0.5654
2010-07-22,0.4975
2010-07-23,1.4144
2010-07-26,1.8131
2010-07-27,0.7534
2010-07-28,-0.3399
2010-07-29,0.2729
2010-07-30,0.4762
2010-08-02,0.677
2010-08-03,-1.8157
2010-08-04,1.3014000000000001
2010-08-05,-0.4057
2010-08-06,-0.6789
2010-08-09,-0.6152
2010-08-10,-2.8886
2010-08-11,-6.1615
2010-08-12,1.8113000000000001
2010-08-13,-0.0741
2010-08-16,-0.0742
2010-08-17,1.9302000000000001
2010-08-18,0.3642
2010-08-19,-6.0958
2010-08-20,0.3091
2010-08-23,-5.47
2010-08-24,-2.6895
2010-08-25,2.1776
2010-08-26,-2.7869
2010-08-27,4.3002
2010-08-30,-2.6677
2010-08-31,-2.5747999999999998
2010-09-01,4.8593
2010-09-02,-0.0813
2010-09-03,0.7323
2010-09-07,-1.2924
2010-09-08,0.491
2010-09-09,0.57
2010-09-10,-0.5668
2010-09-13,1.0586
2010-09-14,-0.7252
2010-09-15,1.7045
2010-09-16,2.075
2010-09-17,-2.111
2010-09-20,0.639
2010-09-21,-1.2698
2010-09-22,-5.1447
2010-09-23,-5.0847
2010-09-24,-0.0893
2010-09-27,-3.4853
2010-09-28,-0.3704
2010-09-29,-0.2788
2010-09-30,1.0252
