ticker,NTRB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-12-01,0.0
2018-01-26,1.8182
2018-01-30,48.8095
2018-02-05,40.0
2018-02-07,7.1429
2018-02-08,-13.3333
2018-02-12,0.0
2018-02-16,1.5415
2018-02-20,-0.003
2018-02-21,4.5455
2018-02-22,1.4493
2018-02-23,5.7143
2018-02-26,10.5405
2018-02-27,0.2445
2018-02-28,10.9756
2018-03-01,10.989
2018-03-02,1.9802
2018-03-05,2.9126
2018-03-06,-5.6604
2018-03-07,7.0
2018-03-08,5.6075
2018-03-09,9.7345
2018-03-12,0.0
2018-03-14,4.8387
2018-03-16,0.7692
2018-03-19,0.0
2018-03-28,-18.3206
2018-03-29,-6.5421
2018-04-02,19.0
2018-04-05,0.8403
2018-04-06,0.0
2018-04-09,8.3333
2018-04-10,0.0
2018-04-11,0.0
2018-04-13,-3.0769
2018-04-17,-10.3175
2018-04-27,-11.5044
2018-04-30,-2.7
2018-05-02,-0.1028
2018-05-03,7.8189
2018-05-04,0.1908
2018-05-08,1.9048
2018-05-09,0.0
2018-05-10,17.757
2018-05-11,1.5873
2018-05-14,-14.0625
2018-05-15,18.1818
2018-05-17,3.3692
2018-05-18,8.6471
2018-05-21,6.8493
2018-05-22,1.2821
2018-05-23,4.4304
2018-05-24,-3.0303
2018-05-25,1.25
2018-05-29,1.8531
2018-05-30,-0.0012
2018-05-31,0.6061
2018-06-01,-1.8072
2018-06-04,5.5215
2018-06-05,0.0
2018-06-07,0.0
2018-06-08,0.5814
2018-06-11,2.8902
2018-06-12,0.0
2018-06-13,0.5618
2018-06-14,17.3184
2018-06-15,0.0
2018-06-18,9.5238
2018-06-19,-0.4348
2018-06-20,6.9869
2018-06-21,2.0408
2018-06-22,1.6
2018-06-25,0.0
2018-06-26,-5.5118
2018-06-27,-2.5
2018-06-28,-5.9829
2018-06-29,6.8182
2018-07-02,2.1277
2018-07-03,0.0
2018-07-05,-8.3333
2018-07-06,8.6364
2018-07-09,0.0
2018-07-10,1.2551999999999999
2018-07-16,-23.9669
2018-07-17,-23.913
2018-07-18,-7.1429
2018-07-19,7.6923
2018-07-20,14.2857
2018-07-23,-0.0013
2018-07-25,0.0013
2018-07-26,0.0
2018-07-27,1.875
2018-07-30,-11.0429
2018-07-31,2.069
2018-08-01,-5.4068
2018-08-02,0.0014
2018-08-03,-2.8571
2018-08-06,-19.1176
2018-08-07,18.1818
2018-08-08,7.6923
2018-08-09,7.0
2018-08-10,-6.6756
2018-08-13,-3.4335
