ticker,SPQS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-11,-50.0
2000-03-06,100.0
2000-03-10,-50.0
2000-03-29,140.0
2000-05-09,-75.0
2000-08-07,-16.6667
2000-09-19,0.0
2000-10-13,0.0
2000-10-17,0.0
2000-10-24,-55.2
2000-11-13,0.0
2000-12-22,0.0
2001-02-12,0.0
2001-02-22,42.8571
2001-05-07,50.0
2001-05-09,0.0
2001-05-16,0.0
2001-06-15,-46.6667
2001-07-12,25.0
2001-07-18,240.0
2001-07-25,-73.5294
2001-07-31,0.0
2001-08-13,277.7778
2001-08-22,12.0588
2001-08-23,-0.2625
2001-09-05,-47.3684
2001-09-21,-55.0
2001-10-22,177.7778
2001-10-23,0.0
2001-10-24,-20.0
2001-11-14,-25.0
2001-11-16,0.0
2001-11-20,0.0
2001-11-26,-26.6667
2001-12-05,0.0
2001-12-13,90.9091
2001-12-20,-33.3333
2002-02-12,0.0
2002-02-20,0.0
2002-02-28,-28.5714
2002-03-05,50.0
2002-03-12,-40.0
2002-04-30,-11.1111
2002-05-01,25.0
2002-06-13,-40.0
2002-09-25,0.0
2002-09-26,100.0
2002-10-10,-50.0
2002-11-19,0.0
2002-11-20,16.6667
2002-12-02,-14.2857
2002-12-19,0.0
2002-12-20,0.0
2002-12-23,-16.6667
2003-05-15,-40.0
2003-07-07,0.0
2003-07-15,0.0
2003-07-23,100.0
2003-09-23,-33.3333
2003-09-30,125.0
2003-11-14,11.1111
2004-01-13,0.0
2004-01-15,50.0
2004-01-22,-53.3333
2004-02-04,0.0
2004-04-06,42.8571
2004-04-28,-30.0
2004-05-27,0.0
2004-06-28,0.0
2004-08-03,0.0
2004-08-25,0.0
2004-11-29,0.0
2005-01-28,185.7143
2005-01-31,0.0
2005-02-08,-25.0
2005-03-10,0.0
2005-03-11,0.0
2005-04-25,6.6667
2005-05-17,0.0
2005-05-18,-25.0
2005-05-23,0.0
2005-06-23,0.0
2005-09-20,-16.6667
2005-09-21,0.0
2005-10-31,-30.0
2005-11-01,0.0
2006-01-17,85.7143
2006-01-18,53.8462
2006-01-23,-25.0
2006-02-01,0.0
2006-04-25,0.0
2006-07-12,0.0
2006-08-08,0.0
2006-08-29,0.0
2006-09-05,46.6667
2006-09-06,59.0909
2006-10-03,-57.1429
2006-10-17,0.0
2006-10-30,0.0
2006-12-05,-20.0
2006-12-19,-8.3333
2007-01-08,9.0909
2007-01-09,0.0
2007-01-26,16.6667
2007-01-30,-7.1429
2007-05-14,23.0769
