ticker,TNET US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-03-27,19.375
2014-03-28,11.5707
2014-03-31,0.0
2014-04-01,-0.0469
2014-04-02,-1.3615
2014-04-03,0.0
2014-04-04,-2.9034
2014-04-07,-3.2353
2014-04-08,-2.3810000000000002
2014-04-09,7.7322
2014-04-10,-0.7707
2014-04-11,-1.3592
2014-04-14,0.7382
2014-04-15,0.0
2014-04-16,4.4944
2014-04-17,2.8518
2014-04-21,5.3636
2014-04-22,-2.6747
2014-04-23,-5.0975
2014-04-24,0.2802
2014-04-25,-0.3726
2014-04-28,1.5428
2014-04-29,-0.8748
2014-04-30,-0.3716
2014-05-01,-0.8858
2014-05-02,2.0696
2014-05-05,0.7834
2014-05-06,4.5725
2014-05-07,0.0875
2014-05-08,-3.2329
2014-05-09,2.0316
2014-05-12,-0.9735
2014-05-13,2.7702999999999998
2014-05-14,2.0435
2014-05-15,2.0026
2014-05-16,-0.0418
2014-05-19,-0.8776
2014-05-20,-0.3373
2014-05-21,-0.2961
2014-05-22,1.5697999999999999
2014-05-23,0.7101
2014-05-27,4.5209
2014-05-28,-1.7856999999999998
2014-05-29,1.2929
2014-05-30,0.1197
2014-06-02,3.5857
2014-06-03,-0.8462
2014-06-04,2.2886
2014-06-05,2.3891
2014-06-06,0.0
2014-06-09,-1.1111
2014-06-10,1.0112
2014-06-11,1.0382
2014-06-12,0.1101
2014-06-13,0.4032
2014-06-16,-5.1844
2014-06-17,-1.7713
2014-06-18,1.6856
2014-06-19,-0.6554
2014-06-20,-3.2208
2014-06-23,-2.8468
2014-06-24,-2.3937
2014-06-25,0.9302
2014-06-26,0.6284
2014-06-27,-1.5819999999999999
2014-06-30,1.819
2014-07-01,-0.8309
2014-07-02,0.1257
2014-07-03,3.2218
2014-07-07,-2.9185
2014-07-08,-0.3758
2014-07-09,-0.1257
2014-07-10,-1.3428
2014-07-11,-1.1484
2014-07-14,1.2048
2014-07-15,-0.4252
2014-07-16,-0.7259
2014-07-17,-2.0645
2014-07-18,-1.0101
2014-07-21,-0.9317
2014-07-22,-0.3583
2014-07-23,1.4382
2014-07-24,-0.9304
2014-07-25,-0.9839
2014-07-28,1.8519
2014-07-29,2.8381
2014-07-30,0.0
2014-07-31,0.9056
2014-08-01,4.0171
2014-08-04,1.5612
2014-08-05,9.5469
2014-08-06,0.4062
2014-08-07,1.0298
2014-08-08,0.4368
2014-08-11,2.4647
2014-08-12,3.0775
2014-08-13,-1.4413
2014-08-14,0.4875
