ticker,RCM US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-05-20,12.9167
2010-05-21,0.0
2010-05-24,-0.369
2010-05-25,-4.7407
2010-05-26,1.2442
2010-05-27,-0.1536
2010-05-28,-0.2308
2010-06-01,0.1542
2010-06-02,0.8468
2010-06-03,6.3359
2010-06-04,-4.4508
2010-06-07,-1.6529
2010-06-08,-0.8403
2010-06-09,1.6949
2010-06-10,0.1515
2010-06-11,0.2269
2010-06-14,0.0
2010-06-15,0.7547
2010-06-16,0.7491
2010-06-17,-0.223
2010-06-18,4.62
2010-06-21,-1.2107999999999999
2010-06-22,4.3259
2010-06-23,-1.244
2010-06-24,-6.718
2010-06-25,-0.2251
2010-06-28,3.3083
2010-06-29,-0.2183
2010-06-30,-3.5011
2010-07-01,-1.5117
2010-07-02,-1.2279
2010-07-06,-0.3885
2010-07-07,1.092
2010-07-08,1.7747000000000002
2010-07-09,-0.0758
2010-07-12,-0.1517
2010-07-13,-1.5957
2010-07-14,0.3861
2010-07-15,-0.3846
2010-07-16,-6.8726
2010-07-19,-2.3217
2010-07-20,-0.8489
2010-07-21,-1.8836
2010-07-22,2.0942
2010-07-23,0.9402
2010-07-26,0.6774
2010-07-27,0.0841
2010-07-28,-2.7731
2010-07-29,-0.5186
2010-07-30,3.3015
2010-08-02,-0.9251
2010-08-03,-0.1698
2010-08-04,0.5952
2010-08-05,-3.6348000000000003
2010-08-06,-3.4211
2010-08-09,2.7248
2010-08-10,-0.8842
2010-08-11,-4.5495
2010-08-12,7.0093
2010-08-13,-7.5983
2010-08-16,1.1342
2010-08-17,1.028
2010-08-18,-1.4801
2010-08-19,-3.3803
2010-08-20,0.8746
2010-08-23,-4.7206
2010-08-24,-3.7412
2010-08-25,1.6806999999999999
2010-08-26,-4.4421
2010-08-27,4.3243
2010-08-30,-0.6218
2010-08-31,-1.877
2010-09-01,4.8884
2010-09-02,5.9777000000000005
2010-09-03,4.1109
2010-09-07,-6.4279
2010-09-08,1.7664
2010-09-09,6.7501999999999995
2010-09-10,2.8004
2010-09-13,6.239
2010-09-14,-0.9926
2010-09-15,0.5848
2010-09-16,-1.412
2010-09-17,-3.7068
2010-09-20,3.9370000000000003
2010-09-21,-3.367
2010-09-22,-0.5226
2010-09-23,-3.4151
2010-09-24,1.2692999999999999
2010-09-27,-5.0134
2010-09-28,1.885
2010-09-29,2.1277
2010-09-30,-1.9022000000000001
2010-10-01,0.7387
2010-10-04,-1.5582
2010-10-05,4.1899
2010-10-06,-1.0724
