ticker,QWTR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-09-02,100.0
2012-01-10,566.6667
2012-04-03,580.0
2012-04-04,10.2941
2012-04-18,0.0
2012-04-19,20.0
2012-04-30,-17.7778
2012-05-03,3.3784
2012-05-04,4.5752
2012-05-10,6.25
2012-05-11,2.9412000000000003
2012-05-17,0.0
2012-05-23,1.1429
2012-05-25,0.565
2012-05-29,6.7416
2012-05-30,-5.2632
2012-06-05,-1.6667
2012-06-07,11.8644
2012-06-08,2.0202
2012-06-14,3.9604
2012-06-18,7.619
2012-06-19,10.6195
2012-06-20,0.0
2012-06-25,-4.0
2012-06-26,-8.3333
2012-07-09,-1.8182
2012-07-13,-3.7037
2012-07-16,1.9231
2012-07-17,5.6604
2012-07-18,2.6786
2012-07-19,0.0
2012-07-20,1.7391
2012-07-23,0.0
2012-07-24,0.0
2012-07-25,2.5641
2012-07-26,4.1667
2012-07-27,-1.6
2012-07-30,2.439
2012-07-31,3.1746
2012-08-01,-6.1538
2012-08-02,-4.918
2012-08-03,14.6552
2012-08-06,9.7744
2012-08-07,6.8493
2012-08-08,-1.2821
2012-08-09,-20.1299
2012-08-10,-4.878
2012-08-13,-5.9829
2012-08-14,2.7273
2012-08-15,-2.6549
2012-08-16,5.4545
2012-08-17,0.8621
2012-08-20,-14.5299
2012-08-21,10.0
2012-08-22,-3.6364
2012-08-23,0.9434
2012-08-24,7.4766
2012-08-27,0.8696
2012-08-28,-7.7586
2012-08-29,-1.8692
2012-08-30,-1.9048
2012-08-31,-8.7379
2012-09-04,1.0638
2012-09-05,6.3158
2012-09-06,-8.9109
2012-09-07,8.6957
2012-09-10,-9.8
2012-09-11,4.102
2012-09-12,8.6262
2012-09-13,-2.9412000000000003
2012-09-14,1.0101
2012-09-17,4.0
2012-09-18,3.8462
2012-09-19,5.5556
2012-09-20,0.0
2012-09-21,-2.6316
2012-09-24,-5.4054
2012-09-25,-4.7619
2012-09-26,-10.0
2012-09-27,1.1111
2012-09-28,-0.5495
2012-10-01,0.5525
2012-10-02,0.0
2012-10-03,1.0989
2012-10-04,-2.1739
2012-10-05,-4.4444
2012-10-08,-4.6512
2012-10-09,-2.439
2012-10-10,3.7344
2012-10-11,-7.2149
2012-10-12,-7.7922
2012-10-15,-8.4507
2012-10-16,0.0
2012-10-17,3.0769
2012-10-18,-2.9851
2012-10-19,-15.3846
2012-10-22,3.6364
2012-10-23,1.7544
2012-10-24,-3.4483
2012-10-25,2.6786
2012-10-26,-0.8696
